"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","new_Lat","new_Lon","notes"
"40",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","7717","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","R. Tsuji","2007-03-06T00:00:00.000+0000",NA,"1802",NA,"R. Tsuji",2007,3,6,"brazil","rio grande do sul","barra do ouro","Coletado nas proximidades do município de Barra do Ouro, na estrada para Riozinho e em borda de mata.",NA,NA,NA,"BRA:JBP:HPL:0000007717",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,NA,NA,"centroide mpo"
"41",NA,"MBM","MBM","384294","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Barboza, E","2012-01-01T00:00:00.000+0000",NA,"3446",NA,"Dunaiski Jr.; A.",2007,10,27,"brazil","parana","rio branco do sul",NA,0,0,"Árvore com flores alvas.","BRA:MBM:MBM:0000384294",NA,"Citharexylum solanaceum Cham.",NA,NA,921,-25.077069,-49.34863,"centroide mpo (0)"
"42",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","34756","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Falkenberg, D.B.","2006-01-01T00:00:00.000+0000",NA,"1565",NA,"Souza, M.L.",2006,4,26,"brazil","santa catarina","urubici","Estrada após o albergue e pousada #?##?#Rio Canoas Refúgio de Montanhas#?##?# em direção ao Campo dos Padres, próximo à entrada do Sítio Pedra Bo.",-49.355278,-27.995,"arbusto, flor imaturo verde. ca. 2,00m.","BRA:UFSC:FLOR:0000034756",NA,"Citharexylum solanaceum Cham.",NA,NA,414,-27.995,-49.355278,"original coordinates"
"43",NA,"UFRGS","ICN","166528","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Seger, GDS",NA,NA,"162",NA,"Seger, GDS",2006,5,15,"brazil","rio grande do sul","sao francisco de paula","Floresta Nacional (FLONA-SFP) Lageado",0,0,"Frutos laranjas em grande quantidade; Borda de mata nativa em beira de rio","BRA:UFRGS:ICN:0000166528",NA,"Citharexylum solanaceum Cham.",NA,NA,221,-29.199375,-50.559952,"centroide mpo (0)"
"44",NA,"Universidade Estadual de Londrina, UEL","FUEL","42463","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Cervigne, NS","2007-11-06T00:00:00.000+0000",NA,"40",NA,"Francisco, EM",2005,3,9,"brazil","parana","arapongas","Fazenda Solana, Borda da mata.",-51.366667,-23.4,"Árvore, 5m; frutos maduros vermelhos.","BRA:UEL:FUEL:0000042463",NA,"Citharexylum solanaceum Cham.",NA,NA,1197,-23.4,-51.366667,"original coordinates"
"45",NA,"IF","SPSF","34274","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","G.C.D.Franco","2005-04-20T00:00:00.000+0000",NA,"783",NA,"F.A.R.D.P.Arzolla",2005,4,14,"brazil","rio grande do sul","canela","floresta Ombrofila Mista Montana",NA,NA,"COLETA: XLS: SPSFNovo; Árvore 5m, frutos vermelhos;","BRA:IF:SPSF:0000034274",NA,"Citharexylum solanaceum Cham.",NA,NA,191,-29.351973,-29.351973,"centroide mpo"
"46",NA,"UNICAMP","UEC","138821","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Franco, G.A.D.C.","2005-04-20T00:00:00.000+0000",NA,"783",NA,"Arzolla, FARDP",2005,4,14,"brazil","rio grande do sul","canela",NA,0,0,"Árvore. 5m. Frutos vermelhos.; Floresta Ombrófila Mista Montana.","BRA:UNICAMP:UEC:0000138821",NA,"Citharexylum solanaceum Cham.",NA,NA,191,-29.351973,-50.774661,"centroide mpo (0)"
"47",NA,"UEFS","HUEFS","201713","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.",NA,NA,NA,"4420",NA,"Silva, J.M.",2005,10,17,"brazil","sao paulo","apiai","Estrada Apiaí-Itaóca.",NA,NA,NA,"BRA:UEFS:HUEFS:0000201713",NA,"Citharexylum solanaceum Cham.",NA,NA,991,-24.421088,-24.421088,"centroide mpo"
"48",NA,"Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)","HAS","45559","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Schmidt, R.",NA,NA,"1189",NA,"Senna, R.M.",2005,11,NA,"brazil","rio grande do sul","sao francisco de paula (jaquirana - rs)","Campos de Cima da Serra; Passo do S, Parque Estadual do Tainhas.",NA,NA,"; mata, beira de rio; árvore, fl.amarelas ;","BRA:MCN/FZBRS:HAS:0000045559",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,NA,NA,"centroide mpo"
"49",NA,"Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)","HAS","45498","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Schmidt, R.",NA,NA,"1128",NA,"Senna, R.M.",2005,12,NA,"brazil","rio grande do sul","sao francisco de paula (jaquirana - rs)","Campos de Cima da Serra; Passo do S, Parque Estadual do Tainhas.",NA,NA,"; mata; árvore;","BRA:MCN/FZBRS:HAS:0000045498",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,NA,NA,"centroide mpo"
