"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"46","2/06/17 16:16","INPA","INPA","191450","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Ao lado de 4653",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"47","2/06/17 16:16","INPA","INPA","201442","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Ramos, JF",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 2.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"48","2/06/17 16:16","INPA","INPA","201509","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Ramos, JF",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 1, M350.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"49","2/06/17 16:16","INPA","INPA","215367","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"Basin of Rio Purus, Rio Iaco, right bank, Nova Olinda, between Igarap̩ Santo Ant̫nio and Ig. Boa Esperan̤a. Forest next to or near logging road less than one year.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"50","2/06/17 16:16","INPA","INPA","223046","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Mato Grosso",NA,"Novo Mundo, Reserva Particular do Patrim̫nio Natural (RPPN) Lote Cristalino. Pr�_ximo a Torre de observa̤̣o. Mata de terra firme.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"51","2/06/17 16:16","INPA","INPA","39706","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"52","2/06/17 16:16","INPA","INPA","42215","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"53","2/06/17 16:16","INPA","INPA","48037","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Lima, S",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"54","2/06/17 16:16","INPA","INPA","66259","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke 4-6-5",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"55","2/06/17 16:16","INPA","INPA","66290","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke 5-2-2",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"56","2/06/17 16:16","INPA","INPA","66390","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, 7-2-3, levantamento L7 P2",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"57","2/06/17 16:16","INPA","INPA","66399","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, 7-3-3, levantamento L7 P3",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"58","2/06/17 16:16","INPA","INPA","68524","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Mato Grosso",NA,"N̼cleo de Aripuaṇ",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"59","2/06/17 16:16","INPA","INPA","69400","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Mato Grosso",NA,"N̼cleo de Aripuaṇ",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"60","2/06/17 16:16","INPA","INPA","70139","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Mato Grosso",NA,"N̼cleo de Aripuaṇ",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"61","2/06/17 15:41","INPA","INPA",NA,"Sterculia excelsa",NA,"Sterculiaceae","Sterculia",NA,"Mart.","Rodrigues, WA",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Rond̫nia",NA,"Minera̤̣o Jacund��, Vila Caneco-Minera̤̣o Jacund�� a 106 Km de Porto Velho BR 164. Mata de terra firme, solo argilo-arenoso.",NA,NA,NA,NA,NA,"Sterculia excelsa Mart."
"62","2/06/17 16:13","INPA","INPA",NA,"Talisia ghilleana",NA,"Sapindaceae","Talisia",NA,"Acev.-Rodr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Campina que fica no fim da picada da fenologia na Reserva Experimental",NA,NA,NA,NA,NA,"Talisia ghilleana Acev.-Rodr."
"63","2/06/17 16:13","INPA","INPA",NA,"Talisia ghilleana",NA,"Sapindaceae","Talisia",NA,"Acev.-Rodr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Campina que fica no fim da picada da fenologia na Reserva Experimental",NA,NA,NA,NA,NA,"Talisia ghilleana Acev.-Rodr."
