"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"83",NA,NA,"NY","419486","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"863",NA,"F. C. Hoehne",1918,10,19,"brazil","SÃ£o Paulo","","Alto da Serra, EstaÃ§ao Biologica",-46.4100916355625,-23.7138667659755,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in  falls in ribeirao pires","GBIF"
"84",NA,NA,"Herbarium","K000877064","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, T.D.","",NA,"s.n.",NA,"Hoehne, F.C.",1918,10,19,"brazil","","","Alto da Serra, mata da Estação Biologica.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"85",NA,NA,"SP","413","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Hoehne, FC","",NA,"s.n.",NA,"Schwebel, E",1917,4,NA,"brazil","São Paulo","Santo André","Alto da Serra",-46.443939,-23.726284,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) outside municipality original in santo andre falls in ribeirao pires","GBIF"
"86",NA,NA,"Botany",NA,"Affonsea schwebeliana Harms",NA,"Fabaceae","Affonsea","schwebeliana",NA,"Harms","","",NA,"863",NA,"E. Schwebel",1917,10,NA,"brazil","","","",-52.8731,-10.8339,"","Affonsea schwebeliana Harms",NA,"original coordinates outside municipality original in  falls in sao jose do xingu","GBIF"
"87",NA,NA,"RB","RB00161444","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","F.C.P. Garcia","",NA,"738",NA,"J.C. Kuhlmann; F.C. Hoehn",1917,10,20,"brazil","São Paulo","Santo André","Alto da Serra.",-46.443939,-23.726284,"Árvore de 2-6 m alt.","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo outside municipality original in santo andre falls in ribeirao pires","GBIF"
"88",NA,NA,"MO","2903437","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","T.D. Pennington","1996-01-01",NA,"SCHWEBEL 103",NA,"SCHWEBEL",1917,NA,NA,"brazil","São Paulo","","Proced.: Alto da Serra Serra. Serv. Fl. da Comp. P. de Estr. de Ferro.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"89",NA,NA,"Herbarium","K000877062","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, T.D.","",NA,"17233",NA,"Dusén, P.",1915,10,5,"brazil","","","Jacarehý.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"90",NA,NA,"NY","442490","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","T. D. Pennington","1996-01-01",NA,"17233",NA,"P. K. H. DusÃ©n",1915,10,5,"brazil","ParanÃ¡","","JacarehÃ½",-49.7062215087586,-24.2549639591203,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in  falls in jaguariaiva","GBIF"
"91",NA,NA,"Herbarium","K000877063","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, T.D.","",NA,"17310",NA,"Dusén, P.",1915,11,1,"brazil","","","Ad marginem silva primaevae.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"92",NA,NA,"MO","2902232","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","T.D. Pennington","1996-01-01",NA,"Dusén 17310",NA,"Per Dusén",1915,NA,NA,"brazil","Paraná","","Jacarehy; ad marginem silva primaevae.",-54.000667,-24.000233,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in  falls in terra roxa","GBIF"
"93",NA,NA,"MO","2902119","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","T.D. Pennington","1996-01-01",NA,"Dusén 17233",NA,"Per Dusén",1915,NA,NA,"brazil","Paraná","","Tacareliz; ak marginem silvae novae.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"94",NA,NA,"SP","13069A","Affonsea edwallii Harms",NA,"Fabaceae","Affonsea","edwallii",NA,"Harms","Custodio Filho, A","1981-10-01",NA,"CGG1923",NA,"Edwall, G",1892,11,1,"brazil","São Paulo","Santo André","Estação Campo Grande. Beira de um brejo",-46.443939,-23.726284,"Árvore pequena, flor amarela","Affonsea edwallii Harms",NA,"centroide mpo (0) outside municipality original in santo andre falls in ribeirao pires","GBIF"
"95",NA,NA,"MO","2901046","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"Ule 449",NA,"Ernst Ule",1885,NA,NA,"brazil","Santa Catarina","","Itajahy, Barra de Rios.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"96",NA,NA,"MO","2901309","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","T.D. Pennington","1996-01-01",NA,"Dusén 8738",NA,"Per Dusén",NA,NA,NA,"brazil","Paraná","","",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"97",NA,NA,"R-TIPOS","15853","Affonsea schwebeliana Harms",NA,"Fabaceae","Affonsea","schwebeliana",NA,"Harms","Vinha, S.G.","",NA,"II 103",NA,"Schwebel, E.",NA,NA,NA,"brazil","São Paulo","","Alto da Serra",NA,NA,"","Affonsea schwebeliana Harms",NA,NA,"GBIF"
"98",NA,NA,"MBM","59633","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","",NA,"40205",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Antonina","Furna",-48.722189,-25.304979,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"99",NA,NA,"R","65453","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Garcia, F.C.P.","1999-02-01",NA,"",NA,"Andrade, N.",NA,NA,NA,"brazil","São Paulo","","",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"100",NA,NA,"MBM","68604","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","",NA,"43259",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Guaratuba","Rio Boguaçu",-48.768272,-25.817781,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
