"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","fieldNumber","comments"
"13","2017-10-15T12:04:01.000+0000","JBRJ","RB","RB01183847","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","A.P. Fontana",NA,NA,"8611","A.P. Fontana; A.P. Fontana; F.M.S. Sena",2014,10,1,"Brazil","Paraíba","Conceição","Lobo. Serra Vermelha de solo arenítico.",-38.586111,-7.400556,NA,"urn:catalog:JBRJ:RB:1183847",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"15","2014-07-08T00:29:58.000+0000","JBRJ","RB","RB00736961","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","H. C. Lima","2012-12-12T00:00:00.000+0000",NA,"3320","P. C. Gadelha Neto et. al.;",2012,6,29,"Brazil","Paraíba","Mataraca","Mellenium Inorg. Chemical Mineração LTDA .",-34.976944,-6.502222,NA,"urn:catalog:JBRJ:RB:736961",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"16",NA,"UFPB","JPB","51840","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","Lima, HC","2012-06-29T00:00:00.000+0000",NA,"7488","Lima, HC; Thomas, WW; Gadelha Neto, PC; Duré, RC",2012,6,29,"Brazil","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda, Barra do Rio Guaju.",-35.063056,-6.593056,"Arbusto com 1-2 m de altura. Muito ramificado, formando moitas. Frutos verdes com nuances avermelhados; sementes nigrescentes com arilo amarelo. Muito comum na restinga sobre duna. Fotos H.C.L. Material para DNA.; Mata de restinga e r","BRA:UFPB:JPB:0000051840",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"18",NA,"UEFS","HUEFS","202417","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz",NA,NA,NA,"5902","Jardim, J.G.",2011,3,12,"Brazil","Rio Grande do Norte","Extremoz","APA Jenipabu, ECOPOSTO, áreas adjacentes e acesso à Trilha da Torres.",-35.211944,-5.705556,"Caatinga.","BRA:UEFS:HUEFS:0000202417",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"20",NA,"UNIVASF","HVASF","11859","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","J.A. Siqueira Filho","2011-07-05T00:00:00.000+0000",NA,"11","J.E. Fagundes",2011,4,24,"Brazil","Pernambuco","Inajá","Mangue",-37.862611,-8.784333,"Árvore ca. 5 m alt. Frutos imaturos, glaucos. Nome popular: Coração-de-negro.","BRA:UNIVASF:HVASF:0000011859",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"21",NA,"UEFS","HUEFS","164489","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz",NA,NA,NA,"HUESB-VC","Soares-Filho, A.O.",2010,3,30,"Brazil","Bahia","Sebastião Laranjeiras","Serra de Monte Alto.",NA,NA,NA,"BRA:UEFS:HUEFS:0000164489",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"22",NA,"UEFS","HUEFS","213144","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz",NA,NA,NA,"5830","Jardim, J.G.",2010,9,9,"Brazil","Rio Grande do Norte","Extremoz","APA de Jenipabu, trilha da torre.",-35.211944,-5.705556,NA,"BRA:UEFS:HUEFS:0000213144",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"23",NA,"UEFS","HUEFS","141893","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz",NA,NA,NA,"13677","Queiroz, L.P.de",2008,4,17,"Brazil","Bahia","Tucano","Povoado Pedra Grande. Estrada para a Serra de Pai Miguel.",-38.773056,-11.122778,"Caatinga arbustiva sobre solo arenoso.","BRA:UEFS:HUEFS:0000141893",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"24",NA,"UEFS","HUEFS","141880","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","L.P.de Queiroz","2009-03-01T00:00:00.000+0000",NA,"13664","Queiroz, L.P.de",2008,4,17,"Brazil","Bahia","Tucano","Povoado Pedra Grande. Estrada para a Serra de Pai Miguel.",-38.777222,-11.113056,"Caatinga arbustiva sobre solo arenoso.","BRA:UEFS:HUEFS:0000141880",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"25",NA,"UFES","VIES","11719","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","Lima, H.C. de","1905-06-30T00:00:00.000+0000",NA,"6996","Lima, H.C. de; Ribeiro, D.R. & Souza, M.",2008,8,7,"Brazil","Rio Grande do Norte",NA,"Parque das Dunas.",NA,NA,"SW535","BRA:UFES:VIES:0000011719",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"28",NA,"UFERSA","MOSS","13566","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","Oliveira, A.C.P. de","2007-06-25T00:00:00.000+0000",NA,"1078","Loiola, M.I.B.",2007,6,25,"Brazil","Rio Grande do Norte","Natal","Parque da Cidade.",NA,NA,"árvore com 4 m. de altura; fruto imaturo verde; n.v. pau-d'óleo.","BRA:UFERSA:MOSS:0000013566",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"29",NA,"UEFS","HUEFS","122629","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","L.P. de Queiroz","2007-09-01T00:00:00.000+0000",NA,"1692","Santos, R.M.",2007,7,1,"Brazil","Bahia","Canudos",NA,-39.004444,-9.953333,"Caatinga.","BRA:UEFS:HUEFS:0000122629",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"30",NA,"UNIVASF","HVASF","820","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","L.P. Queiroz","2011-05-30T00:00:00.000+0000",NA,"51","U.R. Oliveira",2007,7,20,"Brazil","Bahia","Várzea da Roça","Piemonte da Chapada Diamantina",-40.046278,-11.596775,"Árvore, ca. 1,75m alt. Folhas compostas. Frutos tipo vagem, indeiscentes.","BRA:UNIVASF:HVASF:0000000820",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"32",NA,"UEFS","HUEFS","105427","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","D.Cardoso","2006-01-01T00:00:00.000+0000",NA,"982","Cardoso, D.",2006,1,29,"Brazil","Bahia","Tucano","Povoado da Pedra Grande. Serra do Pai Miguel.",-38.77,-11.124444,"Caatinga arbóreo-arbustiva. Solo bastante arenoso.","BRA:UEFS:HUEFS:0000105427",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"34",NA,"UEFS","HUEFS","110252","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","J.Costa","2006-12-01T00:00:00.000+0000",NA,"6413","Lima, H.C.de",2006,1,25,"Brazil","Rio de Janeiro","Petrópolis","Rebio. Tinguá, Estrada do Imperador, km 5,5, após o Mirante.",-43.283333,-22.492222,"Floresta alto montana.","BRA:UEFS:HUEFS:0000110252",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"35",NA,"UEFS","HUEFS","108100","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","L.P.de Queiroz & E.R.de Souza","2007-09-01T00:00:00.000+0000",NA,"4259","Melo, E.",2006,2,24,"Brazil","Bahia","Tucano",NA,-38.931944,-11.070556,"Contato Savana/ Savana estépica.","BRA:UEFS:HUEFS:0000108100",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"36",NA,"UEFS","HUEFS","107891","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke",NA,NA,NA,"1188","Cardoso, D.",2006,4,15,"Brazil","Bahia","Tucano","Sítio do Mandacaru. Faz. do Sr. Gildásio.",-38.771944,-10.874722,"Caatinga arbóreo-arbustiva densa.","BRA:UEFS:HUEFS:0000107891",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"37","2008-05-27T22:02:00.000+0000","MO","MO","3457499","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke",NA,NA,NA,"Cardoso 1188","D. Cardoso",2006,4,15,"Brazil","Bahia",NA,"Tucano: Sítio do Mandacaru. Faz. do Sr. Gildásio. Caatinga arbóreo-arbustiva densa.",-38.77194,-10.87472,NA,"urn:catalog:MO:Tropicos:3457499","http://www.tropicos.org/Specimen/3457499","Copaifera cearensis Huber ex Ducke",NA,NA,NA
"41","2017-10-19T01:58:51.000+0000","JBRJ","RB","RB00182434","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","H.C.Lima",NA,NA,"1974","GELMACEDO; NENÊ",2005,4,24,"Brazil","Bahia","Jequié","FAZENDA BREJO NOVO, A 10,5 KM DA AV. OTÁVIO MANGABEIRA PELA EXUPÉRIO MIRANDA NO BAIRRO DE MANDACARU.",-40.111111,-13.9475,"ÁRVORE DE 6M. FL. SIMPLES, OPOSTAS, GLABRAS, CRASSAS. IND. 416. PARCELA 10.","urn:catalog:JBRJ:RB:182434",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"42",NA,"Universidade Federal do Ceará, UFC","EAC","38198","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","Castro, A.S.F.","2005-07-17T00:00:00.000+0000",NA,"1586","Castro, A.S.F.",2005,7,17,"Brazil","Ceará","Aquiraz","Dunas prox. ao Rio Pacoti. Arbóreo, solo arenoso",0,0,"Dunas","BRA:UFC:EAC:0000038198",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"43",NA,"UFRPE","PEUFR","46730","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","A. P. P. Oliveira","2005-11-13T00:00:00.000+0000",NA,"50","A. P. P. Oliveira; D. A. S. Lira; J. S. Gomes",2005,8,27,"Brazil","Pernambuco","Igarassu","Mata da Usina São José/ Mata dos Macacos",-35.02405,-7.801725,"Arbustivo; indivíduo nº 691 com 4m de altura.","BRA:UFRPE:PEUFR:0000046730",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"44",NA,"UEFS","HUEFS","114977","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke",NA,NA,NA,"1298","Costa, J.",2005,8,20,"Brazil","Bahia","Rui Barbosa","Serra do Orobó, caminho para o pátio das orquídeas, na base da Serra.",-40.491111,-12.299722,NA,"BRA:UEFS:HUEFS:0000114977",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"46","2008-05-27T22:02:00.000+0000","MO","MO","3457432","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke",NA,NA,NA,"Costa 1298","J.A. Costa",2005,8,20,"Brazil","Bahia",NA,"Rui Barbosa: Serra do Orobó, caminho para o pátio das orquídeas, na base da Serra.",-40.49111,-12.29972,NA,"urn:catalog:MO:Tropicos:3457432","http://www.tropicos.org/Specimen/3457432","Copaifera cearensis Huber ex Ducke",NA,NA,NA
"48",NA,"UEFS","HUEFS","103304","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","L.P.de Queiroz","2006-06-01T00:00:00.000+0000",NA,"46","Colaço, M.",2005,9,18,"Brazil","Bahia","Glória","Baixa do Fontana.",-38.716667,-9.333333,"Caatinga arbórea arbustiva com palmeiras. Areias quartzosas.","BRA:UEFS:HUEFS:0000103304",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"49",NA,"UEFS","HUEFS","103168","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","L.P.de Queiroz","2010-01-01T00:00:00.000+0000",NA,"114","Moraes, A.O.",2005,12,1,"Brazil","Bahia","Paulo Afonso","Estação Ecológica Raso da Catarina(Mata da Pororoca.)",-38.492222,-9.808889,NA,"BRA:UEFS:HUEFS:0000103168",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"50",NA,"UEFS","HUEFS","82425","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","D.Cardoso","2010-09-01T00:00:00.000+0000",NA,"26","Cardoso, D.",2004,4,9,"Brazil","Bahia","Tucano","Sítio do Mandacaru, ca. 11 km de Tucano.",-38.770556,-10.871944,"Caatinga arbóreo-arbustiva. Solo arenoso e pedregoso.","BRA:UEFS:HUEFS:0000082425",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"51","2014-07-08T05:06:53.000+0000","JBRJ","RB","RB00182444","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","H.C.Lima",NA,NA,"993","GELMACEDO",2004,6,21,"Brazil","Bahia","Jequié","FAZENDA BREJO NOVO, A 10,5 KM DA AV. OTÁVIO MANGABEIRA ENTRANDO PELA AV. EXUPÉRIO MIRANDA NO BAIRRO DO MANDACARÚ.",NA,NA,"ÁRVORE DE 6M, COM FOLHAS CRASSAS, SIMPLES E OPOSTAS. MATERIAL ESTÉRIL. SEM EXUDADO E SEM CHEIRO. IND. 1777.","urn:catalog:JBRJ:RB:182444",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"52",NA,"UEFS","HUEFS","88080","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke",NA,NA,NA,"9586","Queiroz, L.P.de",2004,7,30,"Brazil","Bahia","Rui Barbosa","Serra do Orobó, saída da cidade para o Riacho da Prata",NA,NA,"Zona de floresta amplamente degradada.","BRA:UEFS:HUEFS:0000088080",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"53","2012-09-06T00:00:00.000+0000","K","Herbarium","K000834482","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke",NA,NA,NA,"9586","Costa, T.; Sobrinho, J.G.C.; Qeiroz, L.P.; Cardoso, D.",2004,7,30,"Brazil",NA,"Ruy Barbosa","Serra do Orobó, saída da cidade para o Riacho da Prata.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000834482",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"54","2017-10-19T14:06:28.000+0000","JBRJ","RB","RB00115287","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","G.O.Dionísio","2005-04-20T00:00:00.000+0000",NA,"304","G.O.Dionísio",2004,9,3,"Brazil","Rio Grande do Norte","Baía Formosa","Mata Estrela, Interior da mata mais úmida.",NA,NA,NA,"urn:catalog:JBRJ:RB:115287",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"56",NA,"UESB","HUESB","2815","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","J.Costa","2005-01-01T00:00:00.000+0000",NA,"225","Cardoso, D.; J.M.O. Santos.; J.M.O. Santos.",2004,12,30,"Brazil","Bahia","Tucano","Estrada para a Serra Pedra Grande, ca. 14,8 Km da cidade de Tucano.",-38.773611,-12.086111,"Solo bastante arenoso. Troca de material.; Árvore bastante ramificada com até 4,0 m. Folhas cartáceas concolores verdes. Frutos passados atropurpúreos. ; DE","BRA:UESB:HUESB:0000002815",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"57","2017-10-19T01:58:52.000+0000","JBRJ","RB","RB00182438","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","H.C.Lima",NA,NA,"1442","GELMACEDO; J.L. PAIXÃO",2004,12,7,"Brazil","Bahia","Jequié","FAZENDA BREJONOVO, A 10,5KM DA AV. OTÁVIO MANGABEIRA PELA EXUPÉRIO MIRANDA NO BAIRRO DO MANDACARÚ.",-40.109444,-13.944722,"ÁRVORE DE 12M, FOLHAS COMPOSTAS, OPOSTAS. IND. 392. PARCELA 9.","urn:catalog:JBRJ:RB:182438",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"60","2017-10-19T01:58:52.000+0000","JBRJ","RB","RB00182443","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","R. D. Ribeiro","2009-05-26T00:00:00.000+0000",NA,"1436","GELMacedo; J.L. PAIXÃO",2004,12,7,"Brazil","Bahia","Jequié","FAZENDA BREJO NOVO, A 10,5 KM DA AV. OTÁVIO MANGABEIRA PELA EXUPÉRIO MIRANDA NO BAIRRO DO MANDACARÚ.",-40.110833,-13.947222,"ÁRVORE DE 8M, FOLHAS COMPOSTAS, CRASSAS, LEVEMENTE DISCOLOR, PARIPENADA, ALTERNAS. IND. 489. PARCELA 11.","urn:catalog:JBRJ:RB:182443",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"62",NA,"UEFS","HUEFS","69498","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","J.Costa","2004-09-01T00:00:00.000+0000",NA,"308","Silva, F.H.M.",2003,2,16,"Brazil","Bahia","Canudos","Estação Biológica de Canudos",-39.15,-10.016667,"Solo arenoso.","BRA:UEFS:HUEFS:0000069498",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"63",NA,"Cenargen","CEN","62539","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","J. Costa",NA,NA,"308","F. H. M. Silva",2003,2,16,"Brazil","Ba","CANUDOS","Estação Biológica de Canudos.",-39.15,-10.016666,"Doação do Herbário da Universidade Estadual de Feira de Santana - HUEFS (69498). Feira de Santana - Bahia.","BRA:Cenargen:CEN:0000062539",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"64",NA,"UEFS","HUEFS","80815","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","J.Costa","2006-12-01T00:00:00.000+0000",NA,NA,"Cavalcanti, F.S.",2003,7,28,"Brazil","Ceará","Crato","Próx. A divisa do IBAMA área de reserva",NA,NA,NA,"BRA:UEFS:HUEFS:0000080815",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"65",NA,"UEFS","HUEFS","73943","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","J.Costa","2004-01-01T00:00:00.000+0000",NA,"408","Costa, J.",2003,7,22,"Brazil","Bahia","Canudos","Reserva Biodiversitas, próx, a Gruta do Minadouro",-38.983333,-9.933333,NA,"BRA:UEFS:HUEFS:0000073943",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"66",NA,"UEFS","HUEFS","76761","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","J.Costa","2004-09-01T00:00:00.000+0000",NA,"465","Silva, F.H.M.",2003,10,25,"Brazil","Bahia","Canudos","Estação Biológica de Canudos",-39.15,-10.016667,"Solo arenoso.","BRA:UEFS:HUEFS:0000076761",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
