"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"28","2008-09-30T03:34:00.000+0000","MO","MO","3495703","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"Lima 6088",NA,"H.C. de Lima",2003,3,19,"Brazil","Rio de Janeiro",NA,"Mun. Volta Redonda, ARIE Floresta da Cicuta.",-44.08777,-22.56,NA,"urn:catalog:MO:Tropicos:3495703","http://www.tropicos.org/Specimen/3495703","Pseudopiptadenia inaequalis (Benth.) Rauschert"
"29","2017-10-10T18:13:40.000+0000","JBRJ","RB","RB00166928","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"6088",NA,"H. C. dde Lima; e tal",2003,3,19,"Brazil","Rio de Janeiro","Volta Redonda",NA,-44.087778,-22.56,"àrv. com 16m de alt. tronco com casca lisa, DAP 55cm, fr. imaturos verde claro com pontuações","urn:catalog:JBRJ:RB:166928",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"30",NA,"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)","FCAB","6309","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"2513",NA,"A. Solórzano; R.R. Oliveira",2002,3,9,"Brazil","Rio de Janeiro","Rio de Janeiro","Maciço da Pedra Branca, Floresta do Camorim, Morro",0,0,"Vertente sudoeste.&nf;&nf;Árvore de aproximadamente 30 metros de altura, com diâmetro a altura do peito de 0,31 m.","BRA:PUC-RIO:FCAB:0000006309",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"31","2017-10-15T10:58:25.000+0000","JBRJ","RB","RB00332840","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C.de Lima",NA,"5853",NA,"H.C.de Lima; et al",2001,9,12,"Brazil","Rio de Janeiro","Nova Iguaçu","Rebio, Tinguá, Pedra 90 picada para o Pico do Tinguá. Tinguá",-43.468333,-22.588055,"Árvore com 18m altura, tronco com casca lisa e pardo-claro, DAP + ou - 36 cm, frutos passados no chão, frequente","urn:catalog:JBRJ:RB:332840",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"33","2017-10-17T13:40:25.000+0000","JBRJ","RB","RB00451665","Pseudopiptadenia inaequalis (Benth.) Rauschert","cf.","Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","A. Fontes","2010-09-30T00:00:00.000+0000","4457",NA,"C. Farney; J.C.Gomes, G.S.Z.Resende",2001,12,3,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba. mata de encosta.",NA,NA,"Árvore; 15 m; folhas discolores verdes; inflorescência verde; flores com cálice verde e corola  verde/amarelada.","urn:catalog:JBRJ:RB:451665",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"34","2017-10-15T08:55:45.000+0000","JBRJ","RB","RB00167012","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"5959",NA,"H. C. de Lima; et al",2001,12,2,"Brazil","Rio de Janeiro","Angra dos Reis","Ilha Gipoia, Saco Fundo. .",NA,NA,"àrv. grande de 20m de alt. tronco c/casca escamosas e DAP 60. fr. passados no Chão","urn:catalog:JBRJ:RB:167012",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"35",NA,"USP","SPF","200503","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Ribeiro, RD","2004-09-01T00:00:00.000+0000","4456",NA,"Farney, C",2001,12,3,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba",0,0,NA,"BRA:USP:SPF:0000200503",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"38","2017-10-19T11:59:50.000+0000","JBRJ","RB","RB00451992","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","R.D.Ribeiro","2004-09-23T00:00:00.000+0000","4151",NA,"C. Farney; J.C.Gomes",2000,8,24,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba. Mata de Encosta na estrada de acesso a Torre.",NA,NA,"Árvore; 7 m; folhas verdes, discolores; inflorescência jovem esverdeada.","urn:catalog:JBRJ:RB:451992",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"40",NA,"USP","SPF","200506","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Fontes, A","2010-09-01T00:00:00.000+0000","4161",NA,"Farney, C",2000,9,11,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba",0,0,NA,"BRA:USP:SPF:0000200506",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"42","2017-10-18T14:39:52.000+0000","JBRJ","RB","RB00710499","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"5384",NA,"H.C. de Lima; et al.",1997,5,7,"Brazil","Rio de Janeiro","Duque de Caxias","Rio Pedra Branca. Reserva da Petrobras",-43.266667,-22.55,"Árvore com ca. 20,0 m. alt. Tronco com casca lisa e alvo-pardacenta, DAP. ca. 65cm. Frutos verde-pardacentos. Ocasional","urn:catalog:JBRJ:RB:710499",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"43","2014-07-08T04:51:17.000+0000","JBRJ","RB","RB00166936","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"172",NA,"P. R. Farag; e tal",1995,12,4,"Brazil","Rio de Janeiro","Nova Iguaçu","Barrelão, picada a direita , ca. 200m da barragem.",NA,NA,"àrv. ca. 25m alt. DAp. 57cm; fr. passados Castanhos","urn:catalog:JBRJ:RB:166936",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"44","2014-07-08T04:51:38.000+0000","JBRJ","RB","RB00167065","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H. C DE LIMA","1994-01-01T00:00:00.000+0000",NA,NA,"WW THOMAS ; A. CARVALHO, A. AMORIM, KJ. JARDIM, . S . SANT´ ANA",1993,10,22,"Brazil","Bahia","Bahia","PRADO, RESERVA FLORESTAL DA BTRASIL HOLANDA OINDUSTRIAS S.A.",-39.333333,-17.183333,"TREE 12m LEAFLETS LUSTROUS DARL GREEN ABOVE PALER BENETAH, FRUIT DARK BROW","urn:catalog:JBRJ:RB:167065",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"45","2014-07-08T04:51:10.000+0000","JBRJ","RB","RB00166946","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,"B. C. Kurtz; et al",1992,5,21,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Est. Ecol. Est. do Paraíso, .",NA,NA,"àrv. 29m de alt. Fuste 14m; DAP 40,5cm","urn:catalog:JBRJ:RB:166946",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"46","2017-10-19T11:49:44.000+0000","JBRJ","RB","RB00558591","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C.de Lima",NA,"4221",NA,"H.C.de Lima; et al.",1991,8,27,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Picada para o cano da CEDAE.",-42.833333,-22.433333,"Arvore. Tronco com casca lisa e esbranquicada. Frutos no chao e folhas de rebroto. Muito frequente.","urn:catalog:JBRJ:RB:558591",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"47",NA,"USP","SPF","192834","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Lima, HC","2009-01-01T00:00:00.000+0000","4236",NA,"Lima, HC",1991,8,29,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual do Paraíso",-42.833333,-22.433333,NA,"BRA:USP:SPF:0000192834",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"50","2017-10-19T14:10:30.000+0000","JBRJ","RB","RB00558705","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C.de Lima",NA,NA,NA,"C.M.Vieira; et al.",1991,9,30,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Parcela 5C.",-42.833333,-22.433333,NA,"urn:catalog:JBRJ:RB:558705",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"52","2014-08-25T11:00:57.000+0000","JBRJ","RB","RB00567769","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C.de Lima",NA,"951",NA,"A.F.Vaz; et al.",1991,10,26,"Brazil","Rio de Janeiro","Guapimirim","EstaçAõ Ecológica Estadual de Paraíso. Parcela 7C.",-42.833333,-22.433333,"Arvore. Inflorescencia vinosa.  Com raizes tabulares. Varias familias epifitas e lianas.","urn:catalog:JBRJ:RB:567769",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"55","2017-10-17T14:04:45.000+0000","JBRJ","RB","RB00559068","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C.de Lima",NA,"288",NA,"C.M.B.Correia; et al.",1991,11,22,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Serra da Queima, próximo Sobe e desce.",-42.833333,-22.433333,"Árvore. Casca castanha, estriada longitudinalmente, entrecasca roxa. Inflor. verde alvacenta, com anteras amarelas. flores em alccol 70. Raizes tabulares de 1 m. alt. Serra da Queimada, prox. Sobe e desce.","urn:catalog:JBRJ:RB:559068",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"56","2010-11-02T09:53:00.000+0000","MO","MO","100318622","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima","2009-01-01T00:00:00.000+0000","Correia 288",NA,"C.M.B. Correia",1991,11,22,"Brazil","Rio de Janeiro",NA,"Estação Ecológica Estadual de Paraíso. Serra da Queima, próximo Sobe e desce.",-42.833333,-22.433333,NA,"urn:catalog:MO:Tropicos:100318622","http://www.tropicos.org/Specimen/100318622","Pseudopiptadenia inaequalis (Benth.) Rauschert"
"59","2017-10-19T01:46:01.000+0000","JBRJ","RB","RB00166907","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"3434",NA,"H. C. de Lima; J. Caruzo",1988,10,18,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Rod. para Nova Friburgo, Próx. a Boca do Mato, Km 53. .",NA,NA,"àrv. com 18m alt. DAP ca. 50cm. Fuste 3m.","urn:catalog:JBRJ:RB:166907",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"60","2017-10-16T23:10:47.000+0000","JBRJ","RB","RB00485446","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"3110",NA,"H.C. de Lima; J. Caruzo",1987,7,30,"Brazil","Rio de Janeiro","São Pedro da Aldeia","São Mateus, estrada para Macaé, Fazenda da Caveira.",NA,NA,"Árvore mediana com 18m de altura, tronco com casca levemente fissurada, acinzentada, DAP 27cm. Frutos verde-pardacentos com pontuações alvacentas. Frequente","urn:catalog:JBRJ:RB:485446",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"61",NA,"MBM","MBM","291118","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"243",NA,"Lima, MPM; et al.",1987,8,13,"Brazil","Rio de Janeiro","Volta Redonda","Floresta da Cicuta",0,0,NA,"BRA:MBM:MBM:0000291118",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"62","2017-10-19T10:36:41.000+0000","JBRJ","RB","RB00114454","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"03",NA,"Almeida, Carminha C.",1987,8,13,"Brazil","Rio de Janeiro","Volta Redonda","Vila Santa Cecília.   Árvore com altura de 10 metros, DAP.cm, frutos ainda verdes com manchas acinzentadas. Beira do caminho da guarita( cerca de 300 cm). Muito frequente em mata pluvial de baixa altitude.",NA,NA,NA,"urn:catalog:JBRJ:RB:114454",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
