"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","fieldNumber","comments","bibliographicCitation"
"12","2017-10-19T01:45:13.000+0000","JBRJ","RB","RB00165282","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","J.M. Fernandes","2012-10-19T00:00:00.000+0000",NA,"5150","B.S. LEONI",2002,9,13,"Brazil","Minas Gerais","Minas Gerais","FARIA LEMES , FAZENDA SNATA RITA. .",NA,NA,"A´RVORE COM 35cm DE ALTURA, CAULE COM 3m DE CIRCUNFERENCIA, RAMS VISÍVEIS- ALVACENTOS, FLORES AROMATICAS","urn:catalog:JBRJ:RB:165282","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"13","2016-05-23T12:29:42.000+0000","JBRJ","RB","RB00347544","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"2199","M.G. Bovini; L. C. Giordano, E. F. Guimarães et S. J. S. Neto",2002,10,22,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada para represa de Macuco. REBIO do Tinguá",NA,NA,"Árvore ca. 10,0m, semi-heliófila. Folíolos membranáceos. Cálice e corola verdes e filetes alvos.","urn:catalog:JBRJ:RB:347544","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"15","2017-10-13T18:24:51.000+0000","JBRJ","RB","RB00347543","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"5953","H. C. de Lima; L. Sylvestre & W. da Silva",2001,11,16,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada para Boa Esperança,. REBIO do Tinguá",NA,NA,"Árvore alta com 28m de altura. Tronco com casca lisa, alvo-pardacento, DAP± 1 cm. Frutos passados. Ocasional.","urn:catalog:JBRJ:RB:347543","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"17","2014-07-07T19:49:43.000+0000","JBRJ","RB","RB00591018","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. Lima",NA,NA,"14","R.E. dos Santos",2000,10,20,"Brazil","Rio de Janeiro","Engenheiro Paulo de Frontin","Morro Azul, Estrada do Pântano.",NA,NA,"Árvore com cerca de 20 m de altura, heliófila, folhas cartáceas concolores verdes, flores alvas.","urn:catalog:JBRJ:RB:591018","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"18","2009-12-10T15:23:05.000+0000","JBRJ","RB","RB00114218","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"5734","Lima,H.C. de; Spolidoro,M.L.C.V., Chada,S.S Silva,T.F da & Cunha,C.F",2000,11,16,"Brazil","Rio de Janeiro","Valença","Distr. Barão de Juparanã.Curral Santa Mariana,picada da Brauna.  .",NA,NA,NA,"urn:catalog:JBRJ:RB:114218","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"19",NA,"UFES","VIES","10493","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A.P.Chagas","2014-03-01T00:00:00.000+0000",NA,"128","Demuner, V.; Bausen, E.",1999,10,19,"Brazil","Espírito Santo","Santa Teresa","Estrada Santa Teresa à 25 de Julho.",NA,NA,"Botões florais e flores brancas.","BRA:UFES:VIES:0000010493","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"20","2017-10-18T16:34:37.000+0000","JBRJ","RB","RB00443228","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"656","C.Luchiari; et al.",1995,6,13,"Brazil","Rio de Janeiro","Silva Jardim","Est. Juturnaiba, esquerda - Km 4. Reserva Biológica de Poço das Antas",-42.25,-22.5,"árvore cerca de 12m de altura, heliófila; folha discolor, face superior verde-escura, face inferior verde; fruto maduro castanho- avermelhado.","urn:catalog:JBRJ:RB:443228","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"21","2014-07-22T13:24:48.000+0000","JBRJ","RB","RB00330843","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C.de Lima","1997-01-01T00:00:00.000+0000",NA,"174","P.R.Farag",1995,12,4,"Brazil","Rio de Janeiro","Nova Iguaçu","Barrelão, picada a direita, ca 200m da Barragem.",NA,NA,"Árvore ca 25m alt, DAP 62 cm, tronco com casca aspera, acinzentada, casca viva rosada, frutos passados no chão, frequente","urn:catalog:JBRJ:RB:330843","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"22","2017-10-19T10:37:14.000+0000","JBRJ","RB","RB00442728","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"510","C.Luchiari; et al.",1994,8,25,"Brazil","Rio de Janeiro","Silva Jardim","Est. Juturnaiba, esquerda - Km 4. Reserva Biológica de Poço das Antas",-42.25,-22.5,"22m, árvore, heliófita, folha discolor, face superior verde escuro, face inferior verde, botão verde pardacento, estilete alvo e antera amarela, forte perfume adocicado.","urn:catalog:JBRJ:RB:442728","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"24","2017-10-18T17:27:41.000+0000","JBRJ","RB","RB00114167","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","F. Bonadeu","2013-01-01T00:00:00.000+0000",NA,"25","Tourinho, D.M",1993,6,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico, Canteiro 27 B.     Árvore com 20 metros de altura. Fruto em formato de orelha, contorsido, cor marrom, flores brancas.  .",NA,NA,NA,"urn:catalog:JBRJ:RB:114167","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"25",NA,"UFES","VIES","20738","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Acácio, G.","1994-03-01T00:00:00.000+0000",NA,"83","Acácio, G.",1993,11,4,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","R.F. Bananal do Norte.",NA,NA,"SW2041","BRA:UFES:VIES:0000020738","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"26","2014-07-08T04:35:14.000+0000","JBRJ","RB","RB00160766","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"677","M. Nadruz; et alii",1991,3,5,"Brazil","Rio de Janeiro","Rio de Janeiro","encosta do JBRJ, trecho a caixa d´água do caminho do boi até Pedra do Marinheiro.",NA,NA,"Árvore, 20m alt.; folíolos verdes e fruto imaturo verde.","urn:catalog:JBRJ:RB:160766","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"27","2017-10-10T14:23:57.000+0000","JBRJ","RB","RB00160755","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","J. E. Meireles",NA,NA,NA,"V. F. Gonçalves",1991,4,15,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,"Árvore, 11,5m; cap. 132cm. INDN 3072","urn:catalog:JBRJ:RB:160755","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"28",NA,"UFES","VIES","19683","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Chagas, A.P.","2014-03-01T00:00:00.000+0000",NA,"271","Souza, V. de",1991,11,28,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",NA,NA,"Botão marrom claro, flor branca.","BRA:UFES:VIES:0000019683","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"29",NA,"Reserva Natural Vale (CVRD)","CVRD","3605","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Domingos A. Folli","1991-11-28T00:00:00.000+0000",NA,"271","Souza, V.D.",1991,11,28,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Orelha de macaco","BRA:CVRD:CVRD:0000003605","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"30","2014-07-08T04:50:44.000+0000","JBRJ","RB","RB00160695","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A.L. Mesquita","1990-01-01T00:00:00.000+0000",NA,"48","Jorge C. Gomes",1985,3,27,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal, Início da Estrada Dona Castorina.",NA,NA,"Árvore 8m alt. 50cm DAP. Fruto imaturo verde.","urn:catalog:JBRJ:RB:160695","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"31",NA,"UFES","VIES","19682","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Chagas, A.P.","2014-03-01T00:00:00.000+0000",NA,"46","Farias, G.L.",1984,11,26,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",NA,NA,"Botão marrom claro, flor branca.","BRA:UFES:VIES:0000019682","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"33",NA,"Reserva Natural Vale (CVRD)","CVRD","89","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Meaquita","1989-03-22T00:00:00.000+0000",NA,"33","Silva, I.A.",1978,11,27,"Brazil","Es","LINHARES","Árvores testemunhas: Canela preta, Tambor, Ipê amarelo, Angélica e Macanaiba marreta.",NA,NA,"<ll>dwc_commonname:</ll> Orelha de macaco","BRA:CVRD:CVRD:0000000089","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"34","2014-07-08T04:28:50.000+0000","JBRJ","RB","RB00162242","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. de Lima","1994-01-01T00:00:00.000+0000",NA,"033","IAS",1978,11,27,"Brazil","Espírito Santo","Linhares","Reserva Florestal CVRD.",NA,NA,"Árvore de aprox. 30 m de altura, fuste 18 m. DAP 73 cm. copa 10 m. Flor branca, botão marrom claro. Fuste cilindrico, casca escamosa. Crescendo em floresta Alta de Terra Firme.","urn:catalog:JBRJ:RB:162242","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"35",NA,"UFES","VIES","19680","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Meaquita, A.L.","1989-03-22T00:00:00.000+0000",NA,"107","Spada, J.",1972,11,30,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",NA,NA,"SW1939","BRA:UFES:VIES:0000019680","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"36","2014-07-08T04:37:10.000+0000","JBRJ","RB","RB00160823","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita","1990-04-24T00:00:00.000+0000",NA,"107/72","J. Spada",1972,11,30,"Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. MAC. -P. -D-SAPO, ant. 161, km 1,780, lado esquerdo. Reserva Florestal da CVRD",NA,NA,"Árvore em Floresta Alta, ca. 34m de altura e fuste de ca. 23m DAP 71cm, 0 da copa - 16m. Com flor branca e botão marrom. Fuste cilíndrico e casca escamosa.","urn:catalog:JBRJ:RB:160823","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"38",NA,"UEFS","HUEFS","76280","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"10772","Spada, J.",1972,11,30,"Brazil","Espírito Santo","Linhares","Reserva Natural da CVRD - Linhares - ES. Brasil. Estrada Mac. Pele de Sapo. Km 1,78.",NA,NA,"Mata de Tabuleiro.","BRA:UEFS:HUEFS:0000076280","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"40","2014-08-22T12:50:52.000+0000","K","Herbarium","K000091766","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.L.",NA,NA,"413","Pinheiro, R.S.; Santos 76, T.S.",1967,11,10,"Brazil",NA,"Itapebí","Itambé-Potiraguá.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000091766","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"42",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","3393","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","R. C. Barneby",NA,NA,"413","R. S. Pinheiro",1967,11,10,"Brazil","Bahia","ITAIMBÉ","Rod. Itaimbe/Potiragua/Itapebi.",NA,NA,"Ambiente: Plantacao de cacau. Habito: Árvore maior que 5m e menor 20m","BRA:CEPLAC:CEPEC:0000003393","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"44","2014-12-01T15:48:43.000+0000","K","Herbarium","K000877382","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.",NA,NA,"1154","Lanna, J.P.",1965,9,24,"Brazil",NA,"Rio de Janeiro","Guanabara, Tijuca, Estrada das Furnas.",NA,NA,"Culta! Fr. ""Cachoeira""","http://specimens.kew.org/herbarium/K000877382","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"45","2014-07-08T04:35:11.000+0000","JBRJ","RB","RB00160773","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,"4538","Edm. Pereira; A. P. Duarte",1959,2,24,"Brazil","Rio de Janeiro","Rio de Janeiro","D.F. Entre Mesa do Imperador e Alto da Boa Vista.",NA,NA,"Árvore","urn:catalog:JBRJ:RB:160773","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"46",NA,"MBML","MBML-HERBARIO","2847","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. de Lima & C. Correia/1991",NA,NA,"0","G. Pinto",1950,NA,NA,"Brazil","Bahia","Cruz das Almas",NA,-39.121944,-12.653056,"Bordão de velho, corticeira, herbario.","BRA:MBML:MBML-HERBARIO:0000002847","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"47",NA,"Instituto de Botânica, IBT","SP","39133","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, AL","1986-01-01T00:00:00.000+0000",NA,"9237","Mello Barreto",1937,9,18,"Brazil","Minas Gerais","Santa Luzia","Lagoa Santa",0,0,NA,"BRA:IBt:SP:0000039133","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"48","2014-07-08T04:35:16.000+0000","JBRJ","RB","RB00160739","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,NA,"P. Rosa; C. Lage",1936,2,17,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal do Rio de Janeiro. D. Federal, próximo a estrada Dna. Castorina.",NA,NA,"A. Pelva; folhas e flores.","urn:catalog:JBRJ:RB:160739","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"49",NA,"UnB","UB","113563","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Fernandes, JM","2011-05-17T00:00:00.000+0000",NA,"1723","Barreto, M",1935,7,23,"Brazil","Minas Gerais","Tombos","Fazenda da Cachoeira",0,0,"Árvore 15m; Mata.","BRA:UnB:UB:0000113563","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"50","2014-07-08T04:35:15.000+0000","JBRJ","RB","RB00160785","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","F. Bonadeu","2013-01-01T00:00:00.000+0000",NA,"103","O. S. Mello",1932,9,22,"Brazil","São Paulo","Brotas","Estrada São Pedro.",NA,NA,"Árv. de 6-8m, serve para moirão. Época em que floresceu.","urn:catalog:JBRJ:RB:160785","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"51",NA,"MN","R","24119","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.L.",NA,NA,"11","Nunez, G.M.",1931,NA,NA,"Brazil","Rio de Janeiro","Posse","Avelar",NA,NA,NA,"BRA:MN:R:0000024119","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"52",NA,"Instituto de Botânica, IBT","SP","20926","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, AL","1987-02-02T00:00:00.000+0000",NA,"s.n.","Nunes, GM",1928,3,NA,"Brazil","Rio de Janeiro","Avelar",NA,0,0,NA,"BRA:IBt:SP:0000020926","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"54","2014-07-08T04:50:35.000+0000","JBRJ","RB","RB00160682","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,NA,"Pessoal do Horto Florestal",1927,3,29,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal.",NA,NA,"Árvore de 8m. de alt.","urn:catalog:JBRJ:RB:160682","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"56","2014-07-08T04:50:41.000+0000","JBRJ","RB","RB00160675","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,NA,"J. G. Kuhlmann",1926,10,21,"Brazil",NA,"Brasil","Horto Florestal (in cultivo) .",NA,NA,"Árvore de 10-15 mts. de alt.; fl. alva.","urn:catalog:JBRJ:RB:160675","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"58","2017-10-10T14:40:41.000+0000","JBRJ","RB","RB00160827","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,NA,"Gastão Machado Nunes",1925,11,30,"Brazil","Rio de Janeiro","Avelar",NA,NA,NA,"frutos na col. carpologica.","urn:catalog:JBRJ:RB:160827","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"59","2013-02-06T00:00:00.000+0000","K","Herbarium","K000877384","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.",NA,NA,"16382","Kuhlmann, J.G.",1921,9,24,"Brazil",NA,"Rio de Janeiro","Mundo Novo.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000877384","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"60",NA,"US","Botany","1441786","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Bonadeu, F.",NA,NA,"16382","J. G. Kuhlmann",1921,11,24,"Brazil","Rio de Janeiro",NA,"Mundo Novo.",NA,NA,NA,"http://n2t.net/ark:/65665/3b954fa7a-321b-4352-bb95-a6f638a7f0e6","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"61","2014-07-08T04:35:24.000+0000","JBRJ","RB","RB00160719","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,NA,"Kuhlmann ; Ducke",1920,11,15,"Brazil","Rio de Janeiro","Rio de Janeiro","Acima do Silvestre. D. Federal.",NA,NA,"Arvore grande.","urn:catalog:JBRJ:RB:160719","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
