"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"11",NA,"Reserva Natural Vale (CVRD)","CVRD","8863","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Domingos A. Folli","2004-09-02T00:00:00.000+0000",NA,"4917",NA,"Folli, D.A.",2004,9,2,"Brazil","Es","LINHARES","RFL. 132",NA,NA,"Revisado por: R.B. Pinto 15-X-2014 <ll>dwc_commonname:</ll> Roxinho","BRA:CVRD:CVRD:0000008863",NA,"Peltogyne angustiflora Ducke"
"12",NA,"UNICAMP","UEC","191552","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Folli, D.A.","2004-09-02T00:00:00.000+0000",NA,"4917",NA,"Folli, D.A.",2004,9,2,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. RFL. 132. Estrada Municipal do MME.",0,0,"Arbóreo. Terrestre. Botão verde escuro, flor branca. Seiva incolor. Descamação em escamas. Fuste cilíndrico. Casca escamosa. 21 m de alt. Altura do fuste 13m, CAP do fuste 128cm, Diâmetro da copa 9m.; Capoeirão","BRA:UNICAMP:UEC:0000191552",NA,"Peltogyne angustiflora Ducke"
"13","2014-11-13T13:48:55.000+0000","JBRJ","RB","RB00897682","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","D.A. Folli",NA,NA,"4917",NA,"D.A. Folli",2004,9,2,"Brazil","Espírito Santo","Linhares","RFL. 132, Estrada Municipal do MME.",NA,NA,"Arbóreo; 21 m alt.; 13 m fuste;  Cap fuste 128 cm;  flor branca e botão verde escuro. diam copa 9 m","urn:catalog:JBRJ:RB:897682",NA,"Peltogyne angustiflora Ducke"
"14","2017-10-19T10:54:26.000+0000","JBRJ","RB","RB00114445","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,NA,NA,"Matheus, Ricardo",2003,8,15,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal, próximo ao Solar da Imperatriz, atrás do galpão.   Árvore com + ou - 16 metros de altura. Frutos maduros, dispersos pelo vento.",NA,NA,NA,"urn:catalog:JBRJ:RB:114445",NA,"Peltogyne angustiflora Ducke"
"15","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","212772","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Vieira, M.G.G.","2001-01-01T00:00:00.000+0000",NA,"973",NA,"Mike Hopkins",2000,9,23,"Brazil","Amazonas",NA,"Ao longo do Paraná do Anuixi, beira do rio.",NA,NA,NA,"urn:catalog:inpa:herbarium:177300",NA,"Peltogyne angustiflora Ducke"
"16",NA,"MBM","MBM","410181","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Lima, HC de","1998-08-01T00:00:00.000+0000",NA,"4919",NA,"Braga, JMA; Caruzo, J",1998,7,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Botafogo, morro Mundo Novo. Campus da Universidade Santa Úrsula.",0,0,"Árvore, ca. 25 m de altura. Folíolos lustrosos, rígidos e papiráceos. Frutos imaturos verdes.; Fragmento de mata alterada na encosta.","BRA:MBM:MBM:0000410181",NA,"Peltogyne angustiflora Ducke"
"17",NA,"UEFS","HUEFS","223631","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"4919",NA,"Braga, J.M.A.",1998,7,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Botafogo, morro mundo novo, campus da universidade Santa Ursula",NA,NA,"Fragmento de mata alterada na encosta","BRA:UEFS:HUEFS:0000223631",NA,"Peltogyne angustiflora Ducke"
"18",NA,"UNICAMP","UEC","192712","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Lima, H.C.","1998-07-23T00:00:00.000+0000",NA,"4919",NA,"Braga, J.M.A.; Caruzo, J.",1998,7,23,"Brazil","Rio de Janeiro","Rio de Janeiro","Botafog, Morro Mundo Novo, campus da universidade Santa Ursula",0,0,"Árvore, ca. 25 m de altura, folíolos lustrosos, rígidos e papiráceos. Friuto imaturos verdes.","BRA:UNICAMP:UEC:0000192712",NA,"Peltogyne angustiflora Ducke"
"19",NA,"NY","NY","02864683","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"4919",NA,"J. Braga",1998,7,23,"Brazil","Rio de Janeiro",NA,"Bairro do Botafogo, Morro Mundo Novo, Campus da Universidade Santa Ursula",-43.2076685467098,-22.9066598189953,NA,"9d189e58-e203-4405-a6bc-ac795275e71c",NA,"Peltogyne angustiflora Ducke"
"20","2017-10-19T04:44:51.000+0000","JBRJ","RB","RB00679518","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","H.C. de Lima",NA,NA,"4919",NA,"J.M.A. Braga; J. Caruzo",1998,7,23,"Brazil","Rio de Janeiro","Rio de Janeiro","- Botafogo, morro mundo novo, campus da universidade Santa Ursula.",NA,NA,"Árvore, ca. 25 m. de altura. folíolos lustrosos, rígidos e papiráceos. Frutos imaturos verdes. Fragmento de mata alterada na encosta.","urn:catalog:JBRJ:RB:679518",NA,"Peltogyne angustiflora Ducke"
"21","2018-09-10T09:24:58.000+0000","JBRJ","RB","RB00424598","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"5431",NA,"H. C. de Lima; M. T. Nascimento, G. C. da Silva & P. H. F. de Azevedo",1997,7,16,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Excurção á Mata do Carvão.",NA,NA,"Árvore com 16 metros de altura. Tronco com casca lisa, acizentada. DAP 10 cm. Estéril. Ocasional.","urn:catalog:JBRJ:RB:424598",NA,"Peltogyne angustiflora Ducke"
"22","2014-07-22T08:07:56.000+0000","JBRJ","RB","RB00146259","Peltogyne angustiflora Ducke","cf.","Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"703",NA,"M. R. Moreno",1997,7,30,"Brazil",NA,"Brasil","Imbé.",NA,NA,"DAP : 14,2.","urn:catalog:JBRJ:RB:146259",NA,"Peltogyne angustiflora Ducke"
"23","2014-07-22T13:21:20.000+0000","JBRJ","RB","RB00332796","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","H.C.de Lima e P.R.Farag",NA,NA,"5228",NA,"H.C.de Lima",1995,11,16,"Brazil","Rio de Janeiro","Nova Iguaçu","Catanudo, picada para a Serra do Beco.",NA,NA,"Arvore com 18m alt, tronco com casca lisa, levemente fissurada, DAP 27 cm, esteril, ocasional","urn:catalog:JBRJ:RB:332796",NA,"Peltogyne angustiflora Ducke"
"24",NA,"UNICAMP","UEC","192787","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"139",NA,"Farág, P.R.; et al.",1995,11,14,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada do Comércio,próximo a sede, após o portão",0,0,"Árvore cerca de 22 m de altura. Tronco comcasca pardacenta,DAP 43 cm. Folhas jovens vinosas. Estéril.Rara; Floresta degradada nas margens do corrego","BRA:UNICAMP:UEC:0000192787",NA,"Peltogyne angustiflora Ducke"
"25","2016-05-23T12:50:17.000+0000","JBRJ","RB","RB00348181","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"139",NA,"P. R. do C. Farág; et al.",1995,11,14,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada do Comercio, próximo a sede, após o portão. REBIO do Tinguá",NA,NA,"Árvore ca. 22m alt. Tronco com casca pardacenta, DAP 43cm. Folhas jovens vinosas. Esteril. Rara. Nome vulgar: ""roxinho"".   Ind. F0003  Det.: H.C. de Lima  03/1997","urn:catalog:JBRJ:RB:348181",NA,"Peltogyne angustiflora Ducke"
"26","2016-05-23T12:42:31.000+0000","JBRJ","RB","RB00348182","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"5228",NA,"H. C. de Lima; et al",1995,11,16,"Brazil","Rio de Janeiro","Nova Iguaçu","Catanudo, picada para a serra do Beco. REBIO do Tinguá",NA,NA,"Árvore com 18m de altura. Tronco com casca lisa, levemente fissurada. DAP 27cm. Estéril. Ocasional. N.P. roxinho.","urn:catalog:JBRJ:RB:348182",NA,"Peltogyne angustiflora Ducke"
"27","2016-05-31T11:19:13.000+0000","JBRJ","RB","RB00146287","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"139",NA,"P. R. Farag; et al",1995,11,14,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada do Comercio, próximo a sede, após o portão.",NA,NA,"Arvore cerca de 22 metros de altura. Tronco com casca pardacenta, DAP 43cm. Folhas jovens vinosas. Estéril. Rara.","urn:catalog:JBRJ:RB:146287",NA,"Peltogyne angustiflora Ducke"
