"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"47",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","22278","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.",NA,NA,NA,"s.n.",NA,"Costa, LV; Atalla, NC",1992,10,27,"Brazil","Minas Gerais","Sabinópolis",NA,0,0,NA,"BRA:UFMG:BHCB:0000022278",NA,"Diplotropis ferruginea Benth."
"48","2014-07-22T09:06:49.000+0000","JBRJ","RB","RB00175433","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","J.R.STEHMANN",NA,NA,"1307",NA,"PEDRALLI; STEHMANN & PERDIGÃO",1988,10,11,"Brazil","Minas Gerais","Minas Gerais","SÃO GONÇALO DO RIO ABAIXO.",NA,NA,"ÁRVORE, 10 M. FLORES ROSADAS. CASCA RUGOSA","urn:catalog:JBRJ:RB:175433",NA,"Diplotropis ferruginea Benth."
"49","2017-10-19T13:46:32.000+0000","JBRJ","RB","RB00175460","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","C.ATESTA","1991-01-01T00:00:00.000+0000",NA,"10171",NA,"R.MELLO-SILVA;  T.B.CAVALCANTI, I.CORDEIRO ET ALLI",1986,9,6,"Brazil","Minas Gerais","Grão Mogol","FAZ. BOA VISTA, PRÓX. À TORREE DE TV.",NA,NA,"ÁRVORE DE DOSSEL, CA. 12-15 M ALT. CÁLICE VINHO-OCRÁCDEO. PÉTALAS LILASES DEPOIS ALBO-ROSADAS. FILETES ALVOS, ANTERAS LILÁS-ESCURO. ESTILETE ALVO. CASCA C/ SÚBER ESPESSO, PLÚMBEO, FENDIDO LONG.","urn:catalog:JBRJ:RB:175460",NA,"Diplotropis ferruginea Benth."
"50",NA,"USP","SPF","44636","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Mantovani, W","1986-01-01T00:00:00.000+0000",NA,"CFCR10171",NA,"Mello-Silva, R",1986,9,6,"Brazil","Minas Gerais","Grão Mogol",NA,0,0,NA,"BRA:USP:SPF:0000044636",NA,"Diplotropis ferruginea Benth."
"51","2017-10-19T08:02:53.000+0000","JBRJ","RB","RB00423782","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","W. Mantovani","1986-01-01T00:00:00.000+0000",NA,"10171",NA,"R. Mello-Silva; T. B. Cavalcanti, I. Cordeiro, N. L. Menezes e J. C. C. Gonçalves",1986,9,6,"Brazil","Minas Gerais","Grão Mogol","Boa Vista. Próximo a torre de TV.",NA,NA,"Árvore do dossel, ca. 12-15 m altura. Cálice vinho-coráceo. Pétalas lilases, quando vermelha albo-rosadas. Filetes alvos. Anteras lilás-escuro. Estilete alvo. Casca com súber espesso, plúnbeo, fendido longitudinalmente.","urn:catalog:JBRJ:RB:423782",NA,"Diplotropis ferruginea Benth."
"52",NA,"NY","NY","01132077","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","W. Mantovani",NA,NA,"CFCR10171",NA,"R. de Mello-Silva",1986,9,6,"Brazil","Minas Gerais",NA,"Faz. Boa Vista. PrÃ³ximo a torre de TV",-42.889540899897,-16.5631441886376,NA,"020eb8a3-f603-492b-aaa3-eebbb850d827",NA,"Diplotropis ferruginea Benth."
"53","2013-02-27T00:00:00.000+0000","K","Herbarium","K000892801","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Montovani, W.",NA,NA,"CFCR 10171",NA,"Cavalcanti, T.B.; Cordeiro, I.; Menezes, N.L.; Silva, R.M.; Gonçalves, J.C.C.",1986,9,6,"Brazil",NA,"Grão Mogol","Faz. Boa Vista. Próximo a torre de TV.",NA,NA,"Flora de Campos Rupestres","http://specimens.kew.org/herbarium/K000892801",NA,"Diplotropis ferruginea Benth."
"54",NA,"US","Botany","3097388","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.",NA,NA,NA,"48171",NA,"G. Hatschbach",1984,9,13,"Brazil","Minas Gerais",NA,"Ligacao Rod., BR-116 a Divisopolis (Mun. Pedra Azul) Minas Gerais",NA,NA,NA,"http://n2t.net/ark:/65665/39aac6452-a308-4c6e-afe2-b8add069974d",NA,"Diplotropis ferruginea Benth."
"55","2014-07-22T09:06:50.000+0000","JBRJ","RB","RB00175423","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","H.C. DELIMA",NA,NA,"48171",NA,"G.HATSCHBACH",1984,9,13,"Brazil","Minas Gerais","Minas Gerais","LIGAÇÃO ROD. BR 116 A DIVISOPOLIS (MUN. PEDRA AZUL).",NA,NA,"ÁRVORE 5M, FLOR LILAS.","urn:catalog:JBRJ:RB:175423",NA,"Diplotropis ferruginea Benth."
"56","2013-02-27T00:00:00.000+0000","K","Herbarium","K000892799","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Lima, H.C. de",NA,NA,"48171",NA,"Hatschbach, G.",1984,9,13,"Brazil",NA,"Pedra Azul","Ligação Rod. BR-116 a Divisopolis .",NA,NA,NA,"http://specimens.kew.org/herbarium/K000892799",NA,"Diplotropis ferruginea Benth."
