"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"72",NA,"F","Botany","V0092778F","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,"ISOTYPE","RB 23730",NA,"A. Ducke",1932,10,2,"Brazil","Amazonas",NA,"Manaus, Estrada do Aleixo, km 12",NA,NA,NA,"52dfb27a-7326-4154-a9f4-d3130afe4341","Elizabetha speciosa Ducke",NA,NA,NA,NA
"73",NA,"MN","R-TIPOS","28777A","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Cowan, R.S.","1975-10-01T00:00:00.000+0000","ISOTYPE","HJBR 23730",NA,"Ducke, W.A.",1932,10,2,"Brazil","Amazonas","Manaus",NA,NA,NA,NA,"BRA:MN:R-TIPOS:000028777A","Elizabetha speciosa Ducke",NA,NA,NA,NA
"74",NA,"NY","NY","1185436","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,"ISOTYPE","s.n.",NA,"W. A. Ducke",1932,10,2,"Brazil","Amazonas",NA,"Manaus, Estrada do Aleixo Km 12",-59.93016,-3.085061,NA,"7cfa7cf2-bec2-4e6f-ba93-9b6ebe823479","Elizabetha speciosa Ducke",NA,NA,NA,NA
"75","2017-10-18T00:15:07.000+0000","JBRJ","RB","RB00141520","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,"3634",NA,"Fontella",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","JB do RJ. Canteiro XX 6 120.",NA,NA,"4m altura.","urn:catalog:JBRJ:RB:141520","Elizabetha speciosa Ducke",NA,NA,NA,NA
"76",NA,"F","Botany","V0111368F","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"8552f962-d9b6-4943-90f6-2e22545cbad2","Elizabetha speciosa Ducke",NA,NA,NA,NA
"77",NA,"NY","NY","03082666","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"d054ebaf-8431-4f07-89b2-c320337e4cd3","Elizabetha speciosa Ducke",NA,NA,NA,NA
"78","1987-01-01T00:00:00.000+0000","K","Spirit Collection","51565.000","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/51565.000","Elizabetha speciosa Ducke",NA,NA,NA,NA
"79",NA,"NY","NY","03082665","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","R. S. Cowan","1975-01-01T00:00:00.000+0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"da839bb6-6a2a-4c8e-b0ce-417398452d25","Elizabetha speciosa Ducke",NA,NA,NA,NA
"80","2017-10-18T02:38:11.000+0000","JBRJ","RB","RB00141517","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,"4903",NA,"F Fontella",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico. Canteiro XX.",NA,NA,"11m de altura.","urn:catalog:JBRJ:RB:141517","Elizabetha speciosa Ducke",NA,NA,NA,NA
"81","2017-10-18T02:07:58.000+0000","JBRJ","RB","RB00202849","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,NA,NA,NA,"M.EMERY",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","JARDIM BOT., CANT. XX - CR.",NA,NA,NA,"urn:catalog:JBRJ:RB:202849","Elizabetha speciosa Ducke",NA,NA,NA,NA
