"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"11",NA,"F","Botany","V0447810F","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas",NA,NA,"5661","W. A. Rodrigues",1964,1,3,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"32e73a3c-84f1-4e42-a480-f0fef69d2e90","Pseudoxandra duckei Maas"
"12","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","14354","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Maas, P.J.M.","2001-01-01T00:00:00.000+0000","5661","Mike Hopkins",1964,1,3,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. 8. Mata de terra firme, solo argiloso.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:161296","Pseudoxandra duckei Maas"
"13",NA,NA,"Botany","L.1093837","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas",NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093837","Pseudoxandra duckei Maas"
"14",NA,NA,"Botany","L.1093838","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas",NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093838","Pseudoxandra duckei Maas"
"15",NA,NA,"Botany","L.1093839","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas",NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093839","Pseudoxandra duckei Maas"
"16","2/06/17 16:17","INPA","INPA","14354","Pseudoxandra duckei",NA,"Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. 8. Mata de terra firme, solo argiloso.",NA,NA,NA,NA,"Pseudoxandra duckei Maas"
"17","2/06/17 16:17","INPA","INPA","17122","Pseudoxandra duckei",NA,"Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. XIII. Mata de terra firme, solo argiloso.",NA,NA,NA,NA,"Pseudoxandra duckei Maas"
"18","2/06/17 16:17","INPA","INPA","189689","Pseudoxandra duckei",NA,"Annonaceae","Pseudoxandra",NA,"Maas","Ramos, JF",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Sabi�� 2. Solo arenoso.",NA,NA,NA,NA,"Pseudoxandra duckei Maas"
"19","2/06/17 16:17","INPA","INPA","20447","Pseudoxandra duckei",NA,"Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Estrada Manaus-itacoatiara, km 26, Reserva Florestal Ducke. Mata de terra firme, solo argilo-arenoso; material fixado.",NA,NA,NA,NA,"Pseudoxandra duckei Maas"
"20","2/06/17 16:17","INPA","INPA","2047","Pseudoxandra duckei",NA,"Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Estrada Manaus-itacoatiara, km 26, Reserva Florestal Ducke. Mata de terra firme, solo argilo-arenoso; material fixado.",NA,NA,NA,NA,"Pseudoxandra duckei Maas"
"21","2/06/17 16:17","INPA","INPA","234221","Pseudoxandra duckei",NA,"Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Parque Nacional Pico da Neblina, ́rea de terra-firme nas proximidades da torre do LBA - Parque Nacional Pico da Neblina",NA,NA,NA,NA,"Pseudoxandra duckei Maas"
