"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"53",NA,NA,"Botany","U  0010489","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,NA,"Miller RP; Milliken W; Wandelli EV; Pollard SR",1989,9,5,"Brazil",NA,NA,"State of Amazonas: Mun. Novo Airão. Area Indigena Waimiri Atroari, Río Camanaú, Vicinity of Aldeia Maré.",-61.25,1.75,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200010489",NA,"Unonopsis duckei R.E.Fr."
"54","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","165069","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.","1995-01-01T00:00:00.000+0000",NA,"121",NA,"Mike Hopkins",1988,9,25,"Brazil","Amazonas",NA,"UHE Balbina, Rio Uatumã. Mata de terra firme, solo argiloso.",NA,NA,NA,"urn:catalog:inpa:herbarium:24207",NA,"Unonopsis duckei R.E.Fr."
"55",NA,"NY","NY","1147333","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P. J. M. Maas; L. Y. T. Westra","2006-01-01T00:00:00.000+0000",NA,"8527",NA,"B. M. Boom",1988,11,18,"Brazil","Amazonas",NA,"Distrito AgropecuÃ¡rio, Reserva 1501 (Km 41) of the WWF/INPA MCS Project. Non-flooded moist forest.",-59.833333,-2.516667,NA,"c2500bc4-0e0b-469b-90ea-234bb157fedd",NA,"Unonopsis duckei R.E.Fr."
"57",NA,NA,"Botany","U  0010703","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,NA,"Boom BM; Pacheco M; Palheta E; Souza S",1988,11,18,"Brazil","Amazonas",NA,"Amazonas: Distr. Agropecuário, Reserva 1501 ('km 41') of the WWF/INPA MCS Project.",-59.733333,-2.416667,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200010703",NA,"Unonopsis duckei R.E.Fr."
"61",NA,"ICN","COL","334903","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Paulus Johannes Maria Maas","2006-01-01T00:00:00.000+0000",NA,"8720",NA,"B. Boom | M. Pacheco | E. Palheta | S. de Souza",1988,12,3,"Brazil","Amazonas",NA,"""Distrito Agropecuário, Reserva 1501 (""""km 41"""") of the WWF/INPA MCS Project.""",NA,NA,NA,"60617b98-25e7-11e3-add6-000c29c9b582",NA,"Unonopsis duckei R.E.Fr."
"62",NA,NA,"Botany","L.1084236","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.",NA,NA,NA,NA,NA,"Dionízia F; et al.",1987,8,10,"Brazil",NA,NA,"Rondônia: Porto Velho, Uhe Samuel, dique da margem esquerda, ramal do desmatamento da Pedreira.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1084236",NA,"Unonopsis duckei R.E.Fr."
"65",NA,"NY","NY","1147334","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.",NA,NA,NA,"92",NA,"F. Dionizia",1987,8,10,"Brazil","RondÃ´nia",NA,"Porto Velho, UHE SAMUEL, Dique da margem esquerda, ramal do desmatamento da Pedreira.",-63.23,-9,NA,"ba0f3757-3929-4afb-ab2f-95e5a303109f",NA,"Unonopsis duckei R.E.Fr."
"66",NA,"NY","NY","1147335","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.",NA,NA,NA,"125",NA,"F. Dionizia",1987,8,12,"Brazil","Rondônia",NA,"UHE de Samuel. Dique da margem esquerda.",-63.4533,-8.7394,NA,"c62f53db-ea3b-4935-a88e-3408afdbdb83",NA,"Unonopsis duckei R.E.Fr."
"69","2008-05-27T22:02:00.000+0000","MO","MO","3446273","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P.J.M. Maas & L.Y.Th. Westra","2006-01-01T00:00:00.000+0000",NA,"Dionizia 125",NA,"F. Dionizia",1987,8,12,"Brazil","Rondônia",NA,"Porto Velho, UHE SAMUEL, Dique da margem esquerda; mata de terra firme; solo argiloso.",NA,NA,NA,"urn:catalog:MO:Tropicos:3446273","http://www.tropicos.org/Specimen/3446273","Unonopsis duckei R.E.Fr."
"70",NA,"WU","Herbarium WU","0040330","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P. J. M. Maas & L. Westra (U) 2006",NA,NA,NA,NA,"Cid,C.A. et al.",1986,6,10,"Brazil",NA,NA,"Mun. de Porto Velho, reservatorio da Usina Hidreletrica de Samuel Vicinal JL-7.",-63.90389,-8.76194,NA,NA,NA,"Unonopsis duckei R.E.Fr."
"71",NA,"NY","NY","1097976","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.",NA,NA,NA,"5143",NA,"W. W. Thomas",1986,6,17,"Brazil","RondÃ´nia",NA,"Represa Samuel: forest along PR-3 road, ca. 10 km SE of dam",-63.4,-8.82,NA,"2bbc274f-c633-454c-94b9-273faaa56c52",NA,"Unonopsis duckei R.E.Fr."
"72","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","140799","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.","1995-01-01T00:00:00.000+0000",NA,"7412",NA,"Mike Hopkins",1986,6,10,"Brazil","Rondônia",NA,"Reservatório da Usina Hidrelétrica de Samuel. Vicinal JL-7. Mata de terra firme, solo argiloso.",NA,NA,NA,"urn:catalog:inpa:herbarium:51597",NA,"Unonopsis duckei R.E.Fr."
"75","2008-05-27T22:02:00.000+0000","MO","MO","3446278","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P.J.M. Maas & L.Y.Th. Westra","2006-01-01T00:00:00.000+0000",NA,"Cid Ferreira 7412",NA,"C.A. Cid Ferreira",1986,6,10,"Brazil","Rondônia",NA,"Mun. de Porto Velho, reservatório da Usina Hidrelétrica de Samuel. Vicinal JL-7. Mata de terra firme, solo argiloso.",NA,NA,NA,"urn:catalog:MO:Tropicos:3446278","http://www.tropicos.org/Specimen/3446278","Unonopsis duckei R.E.Fr."
"76",NA,"NY","NY","1097977","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P. J. M. Maas; L. Y. T. Westra","2006-01-01T00:00:00.000+0000",NA,"5009",NA,"W. W. Thomas",1986,6,9,"Brazil","RondÃ´nia",NA,"Repressa Samuel: southern end of E dike near southern hills",-63.25,-9,NA,"c1c2adeb-3b22-408e-b16c-8ef6a2b4dd57",NA,"Unonopsis duckei R.E.Fr."
"79","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","151441","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","""Maas, P.J.M.; Westra, L.Y.T.""",NA,NA,"5009",NA,"Mike Hopkins",1986,6,9,"Brazil","Rondônia",NA,"Repressa Samuel: southern end of E dike near southern hills",-63.25,-9,NA,"urn:catalog:inpa:herbarium:198746",NA,"Unonopsis duckei R.E.Fr."
"80",NA,"UNICAMP","UEC","37375","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Silva, M.F.",NA,NA,"16053",NA,"Egler, S.",1984,4,26,"Brazil","Amazonas","Manaus","Ponta Negra, Rio Negro",0,0,"fruto, 6m alt., casca lisa, solo arenoso, arbusto, frutos verdes.","BRA:UNICAMP:UEC:0000037375",NA,"Unonopsis duckei R.E.Fr."
"81","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","261432","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.","2001-01-01T00:00:00.000+0000",NA,"33042831",NA,"Mike Hopkins",1984,8,9,"Brazil","Amazonas",NA,"ARIE-PDBFF, Estrada ZF-3 - Fazenda Porto Alegre - Sítio amostral Porto Alegre - Reserva 3304 - Parcela 3304-5 - Quadrante 107",-60.64,-2.605889,NA,"urn:catalog:inpa:herbarium:251603",NA,"Unonopsis duckei R.E.Fr."
"82","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","261447","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.","2001-01-01T00:00:00.000+0000",NA,"33043246",NA,"Mike Hopkins",1984,8,21,"Brazil","Amazonas",NA,"ARIE-PDBFF, Estrada ZF-3 - Fazenda Porto Alegre - Sítio amostral Porto Alegre - Reserva 3304 - Parcela 3304-5 - Quadrante 124",-60.64,-2.605889,NA,"urn:catalog:inpa:herbarium:251618",NA,"Unonopsis duckei R.E.Fr."
"83",NA,"NY","NY","1147336","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P. J. M. Maas; L. Y. T. Westra","2006-01-01T00:00:00.000+0000",NA,"1959",NA,"C. A. Cid Ferreira",1980,8,31,"Brazil","ParÃ¡",NA,"Rio Trombetas, margem direita, Porto Trombetas, estrada da MineraÃ§Ã£o Rio-Norte Km 60. Mata de terra firme, solo argilo-arenoso. AtrÃ¡s da Mina de Bauxita, prÃ³ximo ao igarapÃ© Saracazinho.",-55.8667510310416,-1.76914433378959,NA,"c96ec8af-0718-4fc5-b49a-8cf028eb3d1b",NA,"Unonopsis duckei R.E.Fr."
"84","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","96198","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","""Maas, P.J.M.; Westra, L.Y.T.""","2006-01-01T00:00:00.000+0000",NA,"1959",NA,"Mike Hopkins",1980,8,31,"Brazil","Pará",NA,"Rio Trombetas, margem direita, Porto Trombetas, estrada da Mineração Rio-Norte Km 60. Mata de terra firme, solo argilo-arenoso. Atrás da Mina de Bauxita, próximo ao igarapé Saracazinho.",NA,NA,NA,"urn:catalog:inpa:herbarium:46409",NA,"Unonopsis duckei R.E.Fr."
