"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"125","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202969","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"123",NA,"Assunção, P.A.C.L.",NA,NA,NA,"Brazil",NA,"Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Fora do limite da Reserva.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202969",NA,"Quiina negrensis A.C.Sm."
"126",NA,"NY","NY","3137163","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"801ddbb2-4ec5-48f2-8448-3805e43c5a89",NA,"Quiina negrensis A.C.Sm."
"127","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202968","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"1622",NA,"Hopkins, M.J.G.",NA,NA,NA,"Brazil",NA,"Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202968",NA,"Quiina negrensis A.C.Sm."
"128",NA,"NY","NY","3137167","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"356b6ee8-3374-44a2-bb6c-81e66616f34a",NA,"Quiina negrensis A.C.Sm."
"129",NA,"MBM","MBM","78493","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Pires, JM",NA,NA,"180",NA,"Coelho, D; et al.",NA,NA,NA,"Brazil","Amazonas","Manaus","Estrada Manaus - Itacoatiara, km 135",0,0,NA,"BRA:MBM:MBM:0000078493",NA,"Quiina negrensis A.C.Sm."
"130",NA,"NY","NY","3137242","Quiina duckei Pires","cf;","Quiinaceae","Quiina","duckei","Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"bc507b80-d980-4b5b-89cf-9d69096b14d4",NA,"Quiina duckei Pires"
"131","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202976","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"111",NA,"Kukle, P.",NA,NA,NA,"Brazil",NA,"Manaus","ca.90km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 72, depois 6km oest da BR, Fazenda Dimona.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202976",NA,"Quiina negrensis A.C.Sm."
"132",NA,"NY","NY","3137164","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"004484d5-34d2-43df-b347-a4ecb08544ad",NA,"Quiina negrensis A.C.Sm."
"133",NA,"G","Geneva Herbarium – General Collection (G)","G-G-286793/1","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Schneider, J. V. (1997)",NA,"ISOTYPE",NA,NA,"Krukoff, B. A. (Coll. Delessert)",NA,NA,NA,"Brazil",NA,NA,"Manaus - State of Amazonas: Municipality Manaos, along road to Aleixo",-60.02111,-3.11861,NA,NA,NA,"Quiina negrensis A.C.Sm."
"134",NA,"NY","NY","03137162","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"66d54b13-1bac-4f6d-a9c1-974ce890a23f",NA,"Quiina negrensis A.C.Sm."
