"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"39","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","170268","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","20255","","Mori, SA","1989","3","10","brazil","Amazonas","","Distrito Agropecuário, ZF3, Distrito Agropecuário, Reserva 1501 (Km 41) of the WWF/INPA","-59.72","-2.4","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"40","","","NY","01071942","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1989-05-30","","20295","","S. A. Mori","1989","4","24","brazil","Amazonas","","Distrito AgropecuÃ¡rio, Reserva 1501 (km 41) of the WWF/INPA MCS project.","-59.745833","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"41","","","NY","01270368","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","20290A","","S. A. Mori","1989","4","21","brazil","Amazonas","","Distrito AgropecuÃ¡rio, Reserva 1501; Km 41 of the WWF/INPA MCS Project.","-59.74583","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"42","","","NY","01071941","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1989-05-30","","20266","","S. A. Mori","1989","4","24","brazil","Amazonas","","Distrito AgropecuÃ¡rio, Reserva 1501 (km 41) of the WWF/INPA MCS project.","-59.745833","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"43","","","NY","01071943","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1989-05-30","","20269","","S. A. Mori","1989","4","7","brazil","Amazonas","","Distrito AgropecuÃ¡rio, Reserva 1501 (km 41) of the WWF/INPA MCS project.","-59.745833","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"44","","","NY","01270363","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1990-01-01","","20708","","S. A. Mori","1989","8","8","brazil","Amazonas","","Distrito Agropecuario, Reserva 1501 (Km 41) of the WWF/INPA MCS Project.","-59.74583","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"45","","","NY","01270367","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","","","s.n.","","R. P. Miller","1989","","","brazil","Amazonas","","Ãrea IndÃ­gena Waimiri Atroari.","-61.25","-1.75","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"46","","","NY","01071933","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1995-07-01","","897","","J. L. dos Santos","1988","4","8","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Estrada da entrada. Terra firme.","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"47","","","NY","01270364","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","D-06","","D. F. CoÃªlho","1988","4","5","brazil","Amazonas","","Manaus-Itacoatiara, Reserva Florestal Ducke","","","","Corythophora alta R.Knuth","","","GBIF"
"48","","","MO","3299473","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S.M. Mori","1995-01-01","","Santos 897","","J.L. dos  Santos","1988","4","8","brazil","Amazonas","","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Estrada da entrada. Terra firme.","-59.96666","-2.88333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"49","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","180064","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1995-07-01","","6D","","Co̻lho, DF","1988","5","4","brazil","Amazonas","","Reserva Florestal Adolfo Ducke","-59.97","-2.883333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"50","","","NY","01270360","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","19533","","S. A. Mori","1988","10","31","brazil","Amazonas","","Distrito Agropecuario, Reserva 1501 (Km 41) of the WWF/INPA MCS Project.","-59.74583","-2.41625","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"51","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","188131","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","2004-01-01","","8749","","Boom, BM","1988","12","6","brazil","Amazonas","","Distrito Agropecuário, ZF3, Distrito Agropecuário, Reserva 1501, Km 41, of the WWF/INPA MCS Project.","-59.76","-2.407222","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"52","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","148215","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1990-01-01","","INPA148215","","Geraldo","1987","10","7","brazil","Amazonas","","ZF-2","","","","Corythophora alta R.Knuth","","","GBIF"
"53","","","NY","01071951","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1988-01-01","","L-15","","M. G. M. Van Roosmalen","1987","10","22","brazil","Amazonas","","Reserva km 41 of the World Wildlife Fun/INPA Minimum Critical Size of Ecosystems Project.  80km N of Manaus.","-60.039747","-2.61915","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"54","","","NY","01071944","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1988-01-01","","L-39","","M. G. M. Van Roosmalen","1987","11","12","brazil","Amazonas","","Reserva km 41 of the World Wildlife Fund/INPA Minimum Critical Size of Ecosystems Project.  80 km N of Manaus.","-59.995308","-2.343849","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"55","","","NY","01071945","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1988-01-01","","L-36","","M. G. M. Van Roosmalen","1987","11","12","brazil","Amazonas","","Reserva km 41 of the World Wildlife Fund/INPA Minimum Critical Size of Ecosystems Project.  80 km N of Manaus.","-59.995308","-2.343849","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"56","","","NY","01071946","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1988-01-01","","L-35","","M. G. M. Van Roosmalen","1987","11","12","brazil","Amazonas","","Reserva km 41 of the World Wildlife Fun/INPA Minimum Critical Size of Ecosystems Project.  80km N of Manaus.","-60.039747","-2.61915","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"57","","","NY","01071950","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1988-01-01","","L-30","","M. G. M. Van Roosmalen","1987","11","11","brazil","Amazonas","","Reserva km 41 of the World Wildlife Fun/INPA Minimum Critical Size of Ecosystems Project.  80km N of Manaus.","-60.039747","-2.61915","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"58","","","NY","01071949","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1988-01-01","","L-31","","M. G. M. Van Roosmalen","1987","11","11","brazil","Amazonas","","Reserva km 41 of the World Wildlife Fun/INPA Minimum Critical Size of Ecosystems Project.  80km N of Manaus.","-60.039747","-2.61915","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"59","","","Botany","3326597","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","3831","","G. T. Prance, B. S. Pena & J. F. Ramos","1986","12","28","brazil","Amazonas","","Manaus - Caracarai, km 23","","","","Corythophora alta R.Knuth","","","GBIF"
"60","","","NY","01038745","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S. A. Mori","1985-01-01","","17744","","S. A. Mori","1985","1","23","brazil","Amazonas","","Reserva Ducke, Km 27 Manaus-Itacoatiara Road","-59.928188","-2.95487","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"61","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","261420","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Andrade, A.C.S. de","2007-01-01","","33041537","","Mars, L","1984","5","20","brazil","Amazonas","","ARIE-PDBFF, Estrada ZF-3 - Fazenda Porto Alegre - Sítio amostral Porto Alegre - Reserva 3304 - Parcela 3304-3 - Quadrante 56","-60.62","-2.608","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"62","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","261479","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Costa, J.C. da","1996-01-01","","33044924","","Pereira, MJ","1984","11","22","brazil","Amazonas","","ARIE-PDBFF, Estrada ZF-3 - Fazenda Porto Alegre - Sítio amostral Porto Alegre - Reserva 3304 - Parcela 3304-8 - Quadrante 190","-60.63","-2.613333","","Corythophora alta R.Knuth","","original coordinates","GBIF"
"63","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","94141","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1984-01-01","","509","","Zimmerman, B","1980","6","16","brazil","Amazonas","","Estrada ZF3 Km 24, ao lado da Reserva n.1202.","","","","Corythophora alta R.Knuth","","","GBIF"
"64","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","94172","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1984-01-01","","543","","Zimmerman, B","1980","6","27","brazil","Amazonas","","Estrada ZF3 Km 24, ao lado da Reserva n.1202.","","","","Corythophora alta R.Knuth","","","GBIF"
"65","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","94173","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1984-01-01","","544","","Zimmerman, B","1980","6","27","brazil","Amazonas","","Estrada ZF3 Km 24, Reserva n.1202.","","","","Corythophora alta R.Knuth","","","GBIF"
"66","","","Botany","U.1418459","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","","","","","","Lima J; Zimmerman B","1980","6","17","brazil","","","Amazonas Estrada ZF 3 km 24, Municipio de Manaus.","","","","Corythophora alta R.Knuth","","no coordinates, municipality or state provided","GBIF"
"67","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","94158","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1984-01-01","","526","","Zimmerman, B","1980","6","17","brazil","Amazonas","","Estrada ZF3, Km 24, ao lado da Reserva  n.1202.","","","","Corythophora alta R.Knuth","","","GBIF"
"68","","","MO","3438408","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","S.A. Mori","1980-01-01","","Martinelli 7297","","Gustavo Martinelli","1980","7","7","brazil","Pará","","Rio Trombetas, Mineração Santa Patricia-Jari SA, Serra da Onça; mata de terra firme, solo de bauxita.","","","","Corythophora alta R.Knuth","","","GBIF"
"69","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","101840","Corythophora alta R.Knuth","","Lecythidaceae","Corythophora","alta","","R.Knuth","Mori, S.A.","1980-01-01","","7297","","Martinelli, GM","1980","7","7","brazil","Pará","","Rio Trombetas, Mineração Santa Patricia-Jari SA, Serra da Onça.","","","","Corythophora alta R.Knuth","","","GBIF"
