"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"12",NA,"Universidade Federal do Ceará, UFC","EAC","29167","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"706",NA,"Cavalcanti, F.S.",2000,4,7,"brazil","bahia","lencois","margem esquerda da estrada, antes do portal de Len",0,0,"Arvoreta, 5m.","BRA:UFC:EAC:0000029167","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,3540,"Lençóis",2919306,-41.334774,-12.419573,"BAHIA","BA","Bahia",-41.73007713,-12.47331113,-12.419573,-41.334774
"13",NA,"Universidade Federal do Ceará, UFC","EAC","29789","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"s.n.",NA,"Nunes, E.",2000,6,14,"brazil","ceara","crato","Ch. do Araripe, Flona, Malhada Bonita",0,0,"Arvoreta; Mata úmida","BRA:UFC:EAC:0000029789","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"14",NA,"UEFS","HUEFS","144877","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker","L.W.Lima-Verde","2000-07-01T00:00:00.000+0000",NA,"2184",NA,"Lima-Verde, L.W.",2000,7,7,"brazil","ceara","crato","Flona do Araripe.",NA,NA,NA,"BRA:UEFS:HUEFS:0000144877","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"15",NA,"Universidade Regional do Cariri (URCA)","HCDAL","1928","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker","Costa, I.R.; Lima-Verde, L.W.","2000-08-02T00:00:00.000+0000",NA,"EAC32687",NA,"Costa, I.R.",2000,8,2,"brazil","ceara","barbalha","Floresta Nacional do Araripe",0,0,"Árvore ca. de 3m de altura.","BRA:URCA:HCDAL:0000001928","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4437,"Barbalha",2301901,-39.35014,-7.403732,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.403732,-39.35014
"16",NA,"Universidade Federal do Ceará, UFC","EAC","30090","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"s.n.",NA,"Moura, M.",2000,9,6,"brazil","bahia","lencois","Morro do Pai Inácio.",0,0,"Arvoreta, rara; flor branca.","BRA:UFC:EAC:0000030090","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,3540,"Lençóis",2919306,-41.334774,-12.419573,"BAHIA","BA","Bahia",-41.73007713,-12.47331113,-12.419573,-41.334774
"17",NA,"Universidade Regional do Cariri (URCA)","HCDAL","1735","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker","Cavalcanti, F.S.","1999-01-10T00:00:00.000+0000",NA,"EAC27302",NA,"Cavalcanti, F.S.",1999,1,10,"brazil","ceara","crato","Chapada do Araripe, Beija Moça, FLONA.",0,0,"Arvoreta, flor verde em botão.","BRA:URCA:HCDAL:0000001735","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"18",NA,"Universidade Federal do Ceará, UFC","EAC","27598","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"494",NA,"Cavalcanti, F.S.",1999,3,24,"brazil","ceara","crato","Chapada do Araripe, Belmonte.",0,0,"Arbusto; flor em botão.","BRA:UFC:EAC:0000027598","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"19",NA,"Universidade Federal do Ceará, UFC","EAC","43085","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"1393",NA,"Lima-Verde, L.W.",1999,4,29,"brazil","ceara","crato","Flona do Araripe.",0,0,"Arbusto, 3,5m.; Cerrado/Floresta ombrófila","BRA:UFC:EAC:0000043085","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"20",NA,"Universidade Federal do Ceará, UFC","EAC","43088","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"1524",NA,"Lima-Verde, L.W.",1999,6,24,"brazil","ceara","crato","Flona do Araripe.",0,0,"Árvore, 4m.; Cerrado/Floresta ombrófila","BRA:UFC:EAC:0000043088","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"21",NA,"Universidade Federal do Ceará, UFC","EAC","28176","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"507",NA,"Cavalcanti, F.S.",1999,6,23,"brazil","ceara","crato","Chapada do Araripe.",0,0,"Arvoreta; flor branca.","BRA:UFC:EAC:0000028176","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
