"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"46",NA,"WU","Herbarium WU","0024976","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Pizani",NA,NA,NA,NA,"Pizani,A.J.",1983,7,2,"Brazil",NA,NA,"Morretes.",NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"47",NA,"UFPR","UPCB","14357","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Pizani, A.J.",NA,NA,"35",NA,"Pizani, A.J.",1983,7,2,"Brazil","Paraná","Morretes",NA,NA,NA,"Árvore, 8m. Floresta pluvial atlântica da planície litorânea..","BRA:UFPR:UPCB:0000014357",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"48",NA,"WU","Herbarium WU","8337","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Pizani",NA,NA,NA,NA,"Pizani,A.J. 35",1983,7,2,"Brazil",NA,NA,"Morretes.",NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"49",NA,"MBM","MBM","113601","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Pizani, AJ",NA,NA,"35",NA,"Pizani, AJ",1983,7,2,"Brazil","Paraná","Morretes","Morretes",0,0,NA,"BRA:MBM:MBM:0000113601",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"50",NA,"NY","NY","371884","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","L. B. Smith; S. F. Smith","1971-08-01T00:00:00.000+0000",NA,"18501",NA,"G. G. Hatschbach",1968,1,30,"Brazil","Paraná",NA,"Rio do Cedro",-48.32,-25.28,NA,"6bd14b32-4f9e-4b75-94af-cf60e5232ecc",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"51",NA,"MBM","MBM","6709","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G",NA,NA,"18501",NA,"Hatschbach, G",1968,1,30,"Brazil","Paraná","Guaraqueçaba","Rio do Cedro",0,0,NA,"BRA:MBM:MBM:0000006709",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"52",NA,"Universidade Estadual de Londrina, UEL","FUEL","125","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G","1968-06-01T00:00:00.000+0000",NA,"18501",NA,"Hatschbach, G",1968,1,30,"Brazil","Paraná","Guaraqueçaba","Rio do Cedro",0,0,"Árvore flor amarela, com 25cm de altura. Tronco com 50cm diâmetro. Mata pluvial, encosta do morro.","BRA:UEL:FUEL:0000000125",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"53",NA,"US","Botany","2708163","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"18501",NA,"G. Hatschbach",1968,1,30,"Brazil","Paraná",NA,"Rio do Cedro",NA,NA,NA,"http://n2t.net/ark:/65665/39cb65456-ef29-4959-af83-9cad7b4dbe28",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"54","2015-01-06T00:00:00.000+0000","K","Herbarium","K001108324","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"18501",NA,"Hatschbach, G.G.",1968,1,30,"Brazil",NA,"Guaraqueçaba","Rio Cedro.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001108324",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"55",NA,"MBM","MBM","6707","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G",NA,NA,"18109",NA,"Hatschbach, G",1967,12,13,"Brazil","Paraná","Antonina","Batel",0,0,NA,"BRA:MBM:MBM:0000006707",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"56",NA,"US","Botany","2790609","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"115",NA,"J. Fontella",1961,12,7,"Brazil","São Paulo",NA,"A 14 km da cidade de Cananéia, no caminho para Pariquera-Açú",NA,NA,NA,"http://n2t.net/ark:/65665/395aed597-8558-41e0-ba39-09a6f2736e33",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"57",NA,"UFPR","UPCB","3819","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Hatschbach, G.",NA,NA,"6627",NA,"Hatschbach, G.",1960,1,3,"Brazil","Paraná","Paranaguá","Alexandra",NA,NA,"Árvore, 10m, flor amarela. Mata da encosta de morro. Aparece também em Antonina..","BRA:UFPR:UPCB:0000003819",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"58",NA,"US","Botany","2470252","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,"6627",NA,"G. Hatschbach",1960,1,3,"Brazil","Paraná",NA,"Alexandra",NA,NA,NA,"http://n2t.net/ark:/65665/3f7de7968-3548-44f2-9fc2-781bd7afc04a",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"59",NA,NA,"Botany","U.1769372","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,NA,NA,"Hatschbach GG",1960,1,3,"Brazil",NA,NA,"Paraná, Paranagua, Alexandra.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769372",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"60",NA,NA,"Botany","L.2158952","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,NA,NA,"Hatschbach GG",1960,1,3,"Brazil",NA,NA,"Paraná, Paranagua, Alexandra.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.2158952",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"61","2015-10-03T04:28:00.000+0000","MNHN","P","P00733838","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,"ISOTYPE",NA,3952,"Glaziou, A.",1870,3,14,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733838",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"62","2015-10-03T07:30:55.000+0000","MNHN","P","P00733839","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Stafleu",NA,"ISOTYPE",NA,3952,"Glaziou, A.",1870,3,14,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733839",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"63",NA,"F","Botany",NA,"Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,"ISOTYPE","3952",NA,"A. F. M. Glaziou",1870,3,14,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"f4ee5c26-74d2-4703-a080-92106cbbca98",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"64",NA,"HB","HERB","67767","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","-",NA,NA,NA,NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná",NA,"Betel, mata pluvial",NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"65",NA,"SI","HERB","155017","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Dusén, P. K. H.",NA,NA,NA,NA,"Dusén, P. K. H.",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"66","2015-10-03T04:28:15.000+0000","MNHN","P","P00733837","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Mori",NA,"SYNTYPE",NA,29,"Riedel, L.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733837",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"67",NA,"MBM","HERB","67768","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","-",NA,NA,NA,NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná",NA,"Betel, mata pluvial",NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"68",NA,"W","Herbarium W","1992-0016639","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"69",NA,"US","HERB","67769","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","-",NA,NA,NA,NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná",NA,"Betel, mata pluvial",NA,NA,NA,NA,NA,"Vochysia bifalcata Warm.",NA,NA,NA
"70",NA,"UFPR","UPCB","85925","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,NA,NA,"Kuniyoshi, Y.S.",1979,4,19,"Brazil","Paraná","Antonina","Rio do Nunes",NA,NA,"Árvore, frequente. Floresta atlântica..","BRA:UFPR:UPCB:0000085925",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"71","2008-05-27T22:02:00.000+0000","MO","MO","2907474","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","G. Hatschbach","1968-01-01T00:00:00.000+0000",NA,"Hatschbach 18501",NA,"Gert G. Hatschbach",1968,NA,NA,"Brazil","Paraná",NA,"Rio do cedro. Guaraquecaba.",NA,NA,NA,"urn:catalog:MO:Tropicos:2907474","http://www.tropicos.org/Specimen/2907474","Vochysia bifalcata Warm.",NA,NA,NA
"72",NA,NA,"Botany","L.2158951","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,NA,NA,"Hatschbach GG",1967,12,13,"Brazil",NA,NA,"Paraná, Mun. Antonina, Batel.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.2158951",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"73","2015-09-05T05:22:18.000+0000","MNHN","P","P04726785","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,NA,18109,"Hatschbach, G.",1967,12,13,"Brazil","Paraná",NA,NA,NA,NA,"nome vulgar: Guaricica","http://coldb.mnhn.fr/catalognumber/mnhn/p/p04726785",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"74",NA,NA,"Botany","U.1769371","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.",NA,NA,NA,NA,NA,"Hatschbach GG",1960,1,3,"Brazil",NA,NA,"Paraná, Paranagua, Alexandra.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1769371",NA,"Vochysia bifalcata Warm.",NA,NA,NA
"75","2010-01-11T15:28:44.000+0000","K","Herbarium","K000565938","Vochysia bifalcata Warm.","Vochysiaceae","Vochysia","bifalcata","Warm.","Stafleu, F.A.",NA,"ISOTYPE","3952",NA,"Glaziou, A.F.M.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Recd. 10/71","http://specimens.kew.org/herbarium/K000565938",NA,"Vochysia bifalcata Warm.",NA,NA,NA
