"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"40",NA,"UEFS","HUEFS","34806","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"40",NA,"Nascimento, F.H.F.",1998,10,2,"Brazil","Bahia","Rio de Contas","Campo do Queiroz.",NA,NA,"Beira de rio.","BRA:UEFS:HUEFS:0000034806",NA,"Vochysia laurifolia Warm."
"41",NA,"UEFS","HUEFS","34832","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"66",NA,"Nascimento, F.H.F.",1998,10,6,"Brazil","Bahia","Água Quente","Trilha para o Itoibira.",NA,NA,"Beira do rio Camburu.","BRA:UEFS:HUEFS:0000034832",NA,"Vochysia laurifolia Warm."
"42","2017-10-04T11:30:44.000+0000","JBRJ","RB","RB00477334","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","H.C.LIMA E F.NEGREIROS",NA,NA,"4535",NA,"J.M.A. Braga;  et al",1997,12,5,"Brazil","Rio de Janeiro","Itatiaia","Estrada próxima a Ponte do Maromba. Parque Nacional de Itatiaia",NA,NA,"Árvore, ca 18m alt., folhas discolores e cartáceas. Flores amarelas. Vários indivíduos observados em flor na paisagem.","urn:catalog:JBRJ:RB:477334",NA,"Vochysia laurifolia Warm."
"43",NA,"MBM","MBM","181278","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Mello-Silva, R",NA,NA,"1033",NA,"Mello-Silva, R; et al.",1995,4,8,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó",0,0,NA,"BRA:MBM:MBM:0000181278",NA,"Vochysia laurifolia Warm."
"44","2017-10-17T16:51:18.000+0000","JBRJ","RB","RB00533284","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","H.C.LIMA E F.NEGREIROS",NA,NA,"3093",NA,"J.M.A. Braga; et al.",1995,12,7,"Brazil","Rio de Janeiro","Itatiaia","Abrigo lII. Parque Nacional do Itatiaia",-44.566667,-22.25,"Árvore, quebradiço. Folhas com face adaxial verd-lustroso e abaxial ligeramente ferrugíneo. Botões florais amarelos.","urn:catalog:JBRJ:RB:533284",NA,"Vochysia laurifolia Warm."
"45",NA,"UNICAMP","UEC","157385","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","2000-06-26T00:00:00.000+0000",NA,"2172",NA,"Folli, D.A.",1994,1,14,"Brazil","Espírito Santo","Linhares",NA,0,0,NA,"BRA:UNICAMP:UEC:0000157385",NA,"Vochysia laurifolia Warm."
"46",NA,"Reserva Natural Vale (CVRD)","CVRD","4796","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Maria Célia Vianna","2000-06-26T00:00:00.000+0000",NA,"2172",NA,"Folli, D.A.",1994,1,14,"Brazil","Es","LINHARES","Canto Grande.",NA,NA,"<ll>dwc_commonname:</ll> Angélica do brejo","BRA:CVRD:CVRD:0000004796",NA,"Vochysia laurifolia Warm."
"47",NA,"UNICAMP","UEC","183010","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Yamamoto, K.","2013-01-01T00:00:00.000+0000",NA,"20843",NA,"Hoffmann, J.R.R.; Sanches, C.D.; Bastos, E.B.; Gorenstein, M.R.; Pereira, V.F.",1994,9,8,"Brazil","São Paulo","Cananéia","Ilha Comprida. Estrada entre a balsa e a Praia da Ilha Comprida.",-47.911944,-25.017778,"Árvore, ca. 6m alt.; frutos imaturos verdes.&nf;; Área de mata de restinga com transição para dunas.","BRA:UNICAMP:UEC:0000183010",NA,"Vochysia laurifolia Warm."
"48","2016-05-23T12:44:13.000+0000","JBRJ","RB","RB00346774","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","H.C.LIMA","2015-11-23T00:00:00.000+0000",NA,"505",NA,"S. J. Silva Neto",1994,11,17,"Brazil","Rio de Janeiro","Nova Iguaçu","Morro da Catanuda, picada para a serra do Beco. REBIO do Tinguá",NA,NA,"Árvore ombrófila, ca. 20 m de altura; folhas breve discolores cartáceas; flores com corola cor de amarelo-ovo. Ocasional.","urn:catalog:JBRJ:RB:346774",NA,"Vochysia laurifolia Warm."
"49",NA,"UNICAMP","UEC","181285","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Shimizu, G.H.","2014-06-01T00:00:00.000+0000",NA,"5160",NA,"Pereira, O.J.; Gomes, J.M.L.; Weiler Jr, I.",1993,10,25,"Brazil","Espírito Santo","Conceição da Barra","Área 157 da Aracruz Celulose S.A. Área 2. Projeto Fitossociologia da Aracruz Celulose/1993.",0,0,"Planta com 25 metros de altura. Flor amarela.; Restinga mata seca.","BRA:UNICAMP:UEC:0000181285",NA,"Vochysia laurifolia Warm."
"50",NA,"UFES","VIES","27736","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Shimizu, G.H.","2014-06-01T00:00:00.000+0000",NA,"5160",NA,"Pereira, O.J.; Gomes, J.M.L. & Weiler Júnior, I.",1993,10,25,"Brazil","Espírito Santo","Conceição da Barra","Área 157 da Aracruz Celulose S.A.",NA,NA,"SW1837","BRA:UFES:VIES:0000027736",NA,"Vochysia laurifolia Warm."
"51",NA,"MBM","MBM","398347","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vieira, CM","1995-01-01T00:00:00.000+0000",NA,"3102",NA,"Farney, C; Silva, LC; Silva, JC",1992,3,23,"Brazil","Rio de Janeiro","Paraty","Ponta Negra, Picada para o Morro do Cambucá",0,0,"Árvore; ca. 23 m; tronco de casca áspera; folhas verdes; discolores; brilhantes na face superior; inflorescência com raque amarelo-esverdeada, flores amarelas.; Mata de encosta.","BRA:MBM:MBM:0000398347",NA,"Vochysia laurifolia Warm."
"52","2017-10-15T09:37:33.000+0000","JBRJ","RB","RB00458151","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","M.C. Vianna","1995-01-01T00:00:00.000+0000",NA,"3102",NA,"C. Farney; L.C. Silva & J.C. Silva",1992,3,23,"Brazil","Rio de Janeiro","Paraty","Praia Negra. Picada para o Morro do Cambucá.",NA,NA,"Árvore; ca. 23 m; tronco de casca áspera; folhas verdes; discolores; brilhantes na face superior; inflorescência com raque amarelo-esverdeada, flores amarelas.","urn:catalog:JBRJ:RB:458151",NA,"Vochysia laurifolia Warm."
"53",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA125668","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","1995-01-01T00:00:00.000+0000",NA,"3102",NA,"Farney, C.",1992,3,23,"Brazil","Rio de Janeiro","Paraty",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA125668",NA,"Vochysia laurifolia Warm."
"54",NA,"UNICAMP","UEC","181279","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Shimizu, G.H.","2014-06-24T00:00:00.000+0000",NA,"3260",NA,"Pereira, O.J.",1992,3,27,"Brazil","Espírito Santo","Conceição da Barra","Área 157 da Aracruz Celulose S.A.",-40.222778,-18.9925,"Planta com 20 metros de altura.; Mata seca de Restinga.","BRA:UNICAMP:UEC:0000181279",NA,"Vochysia laurifolia Warm."
"55",NA,"UFES","VIES","13840","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Shimizu, G.H.","2014-06-01T00:00:00.000+0000",NA,"3260",NA,"Pereira, O.J.",1992,3,27,"Brazil","Espírito Santo","Conceição da Barra","Área 157 da Aracruz Celulose S.A.",NA,NA,"SW1837","BRA:UFES:VIES:0000013840",NA,"Vochysia laurifolia Warm."
