"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","new_Lat","new_Lon","notes"
"65",NA,"IPA","IPA","9652","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,NA,"s.n.",NA,"Krieger, L.",1942,11,NA,"brazil","sao paulo","sao paulo","Santo Amaro, Seminário do Espírito Santo.",0,0,"Árvore pequena. Flores estriadas de roxo.","BRA:IPA:IPA:0000009652",NA,"Qualea selloi Warm.",NA,NA,1130,-23.64989,-46.647014,"centroide mpo (0)"
"66",NA,"MBM","MBM","169225","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Lisboa, M","2000-08-07T00:00:00.000+0000",NA,"s.n.",NA,"Rodrigues, A",1940,11,NA,"brazil","sao paulo","sao paulo","Vila Amália",0,0,"Flores em novembro","BRA:MBM:MBM:0000169225",NA,"Qualea selloi Warm.",NA,NA,1130,-23.64989,-46.647014,"centroide mpo (0)"
"67",NA,"USP","SPF","13395","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Hoehne, W",NA,NA,"s.n.",NA,"Handro, O",1934,2,26,"brazil","sao paulo","sao paulo","Parque do Estado",0,0,NA,"BRA:USP:SPF:0000013395",NA,"Qualea selloi Warm.",NA,NA,1130,-23.64989,-46.647014,"centroide mpo (0)"
"68",NA,"UFPR","UPCB","15410","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Hoehne, F.C.",NA,NA,"13395",NA,"Handro, O.H.",1934,2,26,"brazil","sao paulo",NA,"Parque E.S. Paulo",NA,NA,"Árvore, frutos..","BRA:UFPR:UPCB:0000015410",NA,"Qualea selloi Warm.",NA,NA,NA,-22.26440593,-22.26440593,"centroide estado"
"69",NA,"UFPR","UPCB","14865","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Hoehne, F.C.",NA,NA,"10318",NA,"Handro, O.H.",1933,11,2,"brazil","sao paulo",NA,"Matas do Jardim Botânico",NA,NA,"Árvore, fl. outubro dezembro, pétalas róseas com pintas sangüíneas..","BRA:UFPR:UPCB:0000014865",NA,"Qualea selloi Warm.",NA,NA,NA,-22.26440593,-22.26440593,"centroide estado"
"70",NA,"US","Botany","3411687","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,NA,"s.n.",NA,"F. C. Hoehne",1932,2,26,"brazil","sao paulo",NA,"Nativa no Jardim Botânico",NA,NA,NA,"http://n2t.net/ark:/65665/3afd9faa0-a11d-49ce-895e-e49ed01d56e1",NA,"Qualea selloi Warm.",NA,NA,NA,-22.26440593,-22.26440593,"centroide estado"
"71",NA,"UEFS","HUEFS","19568","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","F.França","1997-07-01T00:00:00.000+0000",NA,NA,NA,"Hoehne, F.C.",1931,10,26,"brazil","sao paulo","sao paulo","Nativa no Jardim Botânico.",NA,NA,NA,"BRA:UEFS:HUEFS:0000019568",NA,"Qualea selloi Warm.",NA,NA,1130,-23.64989,-23.64989,"centroide mpo"
"72",NA,"IAC","IAC","42456","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","F.C. Hoehne","1931-10-26T00:00:00.000+0000",NA,"s/nº",NA,"F.C. Hoehne",1931,10,26,"brazil","sao paulo","sao paulo",NA,-46.6361,-23.5475,NA,"BRA:IAC:IAC:0000042456",NA,"Qualea selloi Warm.",NA,NA,1130,-23.5475,-46.6361,"original coordinates"
"73",NA,"NY","NY","424559","Qualea selloi subsp. selloi","Vochysiaceae","Qualea","selloi","selloi","subsp. selloi","F. A. Stafleu","1950-01-01T00:00:00.000+0000",NA,"28397",NA,"F. C. Hoehne",1931,10,26,"brazil","sao paulo",NA,"Jardim Botanico",-46.618358,-23.646109,NA,"28a225b8-78bc-42d2-b433-777b9906b50d",NA,"Qualea selloi subsp. selloi",NA,NA,NA,-23.646109,-46.618358,"original coordinates"
"74",NA,"USP","SPF","148350","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Hoehne, FC",NA,NA,"s.n.",NA,"Hoehne, FC",1931,10,26,"brazil","sao paulo","sao paulo",NA,0,0,NA,"BRA:USP:SPF:0000148350",NA,"Qualea selloi Warm.",NA,NA,1130,-23.64989,-46.647014,"centroide mpo (0)"
