"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments"
"33",NA,NA,"Botany","U  0007172","Vochysia schwackeana var. glabra Stafleu","Vochysiaceae","Vochysia","schwackeana","glabra","var. glabra Stafleu","Stafleu FA",NA,"TYPE",NA,NA,"Brade AC",1936,2,20,"Brazil",NA,NA,"Est. do Rio Itatiaya? Lote 15.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007172",NA,"Vochysia schwackeana var. glabra Stafleu",NA,NA
"35","2017-10-18T11:11:16.000+0000","JBRJ","RB","RB00282278","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"15097",NA,"Brade,A.C.",1936,2,20,"Brazil","Rio de Janeiro","Itatiaia","estrada do rio 800m.",NA,NA,NA,"urn:catalog:JBRJ:RB:282278",NA,"Vochysia schwackeana Warm.",NA,NA
"36","2017-10-11T05:44:38.000+0000","JBRJ","RB","RB00459220","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","MCVianna","1975-01-01T00:00:00.000+0000",NA,NA,NA,"J.",1935,7,NA,"Brazil","Minas Gerais","Viçosa",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:459220",NA,"Vochysia schwackeana Warm.",NA,NA
"37","2007-06-04T09:12:48.000+0000","JBRJ","RB","RB00477765","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","M.C.Vianna",NA,NA,"1869",NA,"P.Campos Porto",1929,1,21,"Brazil","Rio de Janeiro","Itatiaia","Monte Serrat.",NA,NA,NA,"urn:catalog:JBRJ:RB:477765",NA,"Vochysia schwackeana Warm.",NA,NA
"38","2007-03-29T15:21:17.000+0000","JBRJ","RB","RB00459232","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","MCVianna","1978-01-01T00:00:00.000+0000",NA,"1869",NA,"Campo Porto",1929,1,21,"Brazil",NA,"Brasil","Itatiaia: Mont Serrat. Itatiaia",NA,NA,NA,"urn:catalog:JBRJ:RB:459232",NA,"Vochysia schwackeana Warm.",NA,NA
"39",NA,"US","Botany","1040208","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"333",NA,"E. Goeldi",1903,2,NA,"Brazil","Rio de Janeiro",NA,"Serra dos Órgãos",NA,NA,NA,"http://n2t.net/ark:/65665/32474328b-47de-4788-9fe8-e646a0b655c9",NA,"Vochysia schwackeana Warm.",NA,NA
"41",NA,"NY","NY","02256169","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"333[=herb. RB 5733]",NA,"E. A. Goeldi",1903,2,NA,"Brazil","Rio de Janeiro",NA,"Serra dos Orgãos",-43.073169,-22.496706,NA,"47d5135f-eab6-4246-bc55-0c9dd838dcff",NA,"Vochysia schwackeana Warm.",NA,NA
"43","2015-10-03T17:18:32.000+0000","MNHN","P","P00733912","Vochysia goeldii Huber","Vochysiaceae","Vochysia","goeldii",NA,"Huber","Mori",NA,"TYPE",NA,333,"Goeldi, E.",1903,2,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733912",NA,"Vochysia goeldii Huber",NA,NA
"55","2015-10-03T05:51:11.000+0000","MNHN","P","P00733925","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Stafleu",NA,"ISOTYPE",NA,6872,"Glaziou, A.",1874,2,12,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733925",NA,"Vochysia schwackeana Warm.",NA,NA
"56",NA,"F","Botany","V0074888F","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,"ISOTYPE","6872",NA,"A. F. M. Glaziou",1874,2,12,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"c0f5ede9-4320-4f8f-8185-d4464149f247",NA,"Vochysia schwackeana Warm.",NA,NA
"58","2017-10-18T10:10:55.000+0000","JBRJ","RB","RB00544529","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","F.A. Stafleu","1947-01-01T00:00:00.000+0000","ISOTYPE","6872",NA,"Glaziou, A.",1874,2,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos.",NA,NA,"arvore flor amarela.","urn:catalog:JBRJ:RB:544529",NA,"Vochysia schwackeana Warm.",NA,NA
"64","2017-10-12T11:26:11.000+0000","JBRJ","RB","RB01261072","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"786",NA,"Vianna,M.C.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261072",NA,"Vochysia schwackeana Warm.",NA,NA
"65","2015-04-11T10:14:24.000+0000","S","VascularPlants","S-R-10199","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"6872",6872,"A. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Herb. Brasil. Regnelli. [Brazil], Rio de Janeiro, Serra dos Orgãos. Theresopolis",NA,NA,NA,"S:VascularPlants:S-R-10199",NA,"Vochysia schwackeana Warm.",NA,NA
"67",NA,"G","Geneva Herbarium – General Collection (G)","G-G-246643/1","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,"TYPE",NA,NA,"Goeldi, E. (Coll. Delessert 1920)",NA,NA,NA,"Brazil",NA,NA,"Rio de Janeiro - Serra dos Orgaos/Estado do Rio de Janeiro",-42.9125,-22.48222,NA,NA,NA,"Vochysia schwackeana Warm.",NA,NA
"69",NA,"UFOP","OUPR","22054","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","Badini, J.","1975-01-30T00:00:00.000+0000",NA,"s.n.",NA,"Badini, J.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Serra de Petropólis",0,0,"Mata. Árvore. Flores amarelas","BRA:UFOP:OUPR:0000022054",NA,"Vochysia schwackeana Warm.",NA,NA
"70","2017-10-12T11:26:18.000+0000","JBRJ","RB","RB01261087","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"2023",NA,"Martins,H.F.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261087",NA,"Vochysia schwackeana Warm.",NA,NA
"71",NA,"MN","R-TIPOS","72825","Vochysia goeldii Huber","Vochysiaceae","Vochysia","goeldii",NA,"Huber","Vianna, M.C.","1975-01-01T00:00:00.000+0000","ISOTYPE","333",NA,"Museu Paraense",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Serra dos Órgãos",NA,NA,NA,"BRA:MN:R-TIPOS:0000072825",NA,"Vochysia goeldii Huber",NA,NA
"73","2017-10-12T11:26:17.000+0000","JBRJ","RB","RB01261086","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"2344",NA,"Vianna,M.C.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261086",NA,"Vochysia schwackeana Warm.",NA,NA
"74","2017-10-12T11:26:14.000+0000","JBRJ","RB","RB01261079","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,NA,NA,"Pereira,F.B.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261079",NA,"Vochysia schwackeana Warm.",NA,NA
"76","2011-03-30T00:00:00.000+0000","BR",NA,"BR0000005299171","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,"TYPE","6872",NA,"Glaziou A.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005299171",NA,"Vochysia schwackeana Warm.",NA,NA
"78","2017-10-18T01:29:25.000+0000","JBRJ","RB","RB00459222","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.","MCVianna","1976-01-01T00:00:00.000+0000",NA,"55",NA,NA,NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,"Flores amarelas","urn:catalog:JBRJ:RB:459222",NA,"Vochysia schwackeana Warm.",NA,NA
"79","2017-10-12T11:26:12.000+0000","JBRJ","RB","RB01261074","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"691",NA,"Vianna,M.C.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261074",NA,"Vochysia schwackeana Warm.",NA,NA
"80",NA,"B","FMNH-B-Types","12917","Vochysia goeldii Huber","Vochysiaceae","Vochysia","goeldii",NA,"Huber",NA,NA,"TYPE","333",NA,"A. Goeldi",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Vochysia goeldii Huber",NA,NA
"81","2017-10-12T17:41:31.000+0000","JBRJ","RB","RB01261071","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"583",NA,"Vianna,M.C.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261071",NA,"Vochysia schwackeana Warm.",NA,NA
"85","2017-10-12T17:41:32.000+0000","JBRJ","RB","RB01261078","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"249",NA,"Pardo,C.S.R.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261078",NA,"Vochysia schwackeana Warm.",NA,NA
"88",NA,"Cenargen","CEN","84271","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"333",NA,"E.A. Goeldl",NA,NA,NA,"Brazil","Rj","RIO DE JANEIRO","Serra dos Órgãos",NA,NA,"ISOTYPUS. Herb. Amaz. 333. Doação RB 5733.","BRA:Cenargen:CEN:0000084271",NA,"Vochysia schwackeana Warm.",NA,NA
"89","2017-10-12T17:41:31.000+0000","JBRJ","RB","RB01261075","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"1171",NA,"Vianna,M.C.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261075",NA,"Vochysia schwackeana Warm.",NA,NA
"93","2017-10-12T17:41:32.000+0000","JBRJ","RB","RB01261077","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"268",NA,"Barbosa,M.L.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261077",NA,"Vochysia schwackeana Warm.",NA,NA
"94","2017-10-12T17:41:30.000+0000","JBRJ","RB","RB01261070","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"130",NA,"Fernandes, R. de Oliveira",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261070",NA,"Vochysia schwackeana Warm.",NA,NA
"98","2017-10-12T11:26:12.000+0000","JBRJ","RB","RB01261073","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"1426",NA,"Oliveira,C.A.L. de",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261073",NA,"Vochysia schwackeana Warm.",NA,NA
"102","2017-10-12T11:26:15.000+0000","JBRJ","RB","RB01261084","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"1427",NA,"Oliveira,C.A.L. de",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261084",NA,"Vochysia schwackeana Warm.",NA,NA
"103","2017-10-12T11:26:13.000+0000","JBRJ","RB","RB01261076","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"40",NA,"Barbosa,A.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261076",NA,"Vochysia schwackeana Warm.",NA,NA
"106","2017-10-12T17:38:37.000+0000","JBRJ","RB","RB01261080","Vochysia schwackeana Warm.","Vochysiaceae","Vochysia","schwackeana",NA,"Warm.",NA,NA,NA,"22890",NA,"Monteiro,H.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,"urn:catalog:JBRJ:RB:1261080",NA,"Vochysia schwackeana Warm.",NA,NA
