"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"13","Universidade Federal da Bahia (UFBA)","ALCB",31269,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","Stapf, MNS","2007-02-01T00:00:00.000+0000","5243","Guedes, ML; Gouveia, EP de; Sette, D",1996,11,10,"Brazil","Bahia","Eunápolis","Reserva da Veracruz Florestal.",-39.566667,-16.366667,"De ca. 2m. Folhas membranáceas, discolores, vilosas. Frutos imaturos verdes.; Mata Ombrófila Densa. Areno-argiloso.","BRA:UFBA:ALCB:0000031269","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"14","Universidade Federal da Bahia (UFBA)","ALCB",431006,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","Stapf, MNS","2007-02-01T00:00:00.000+0000","PL 0019","Jesus, NG de; Lima, SF; Santos, JB dos",1996,12,7,"Brazil","Bahia","Entre Rios","RPPN Lontra/Saudade.",-37.883333,-12.383333,"15,00m, DAP 0,52m. Inflorescência escorpióide cimosa, aroma forte, flores hermafroditas de pétalas beges.","BRA:UFBA:ALCB:0000431006","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"17","UEFS","HUEFS",39538,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000","6188","Carvalho, A.M.de",1995,12,12,"Brazil","Bahia","Una","Reserva Biológica do Mico-leão(IBAMA). Entrada no Km 46 da Rod. BA-001 Ilhéus/Una.",-39.083333,-15.15,"Mata Higrofila.","BRA:UEFS:HUEFS:0000039538","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"20","MBM","MBM",344398,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf",NA,NA,"3480","Pirani, JR; et al.",1994,12,8,"Brazil","Espírito Santo","Vila Velha","ES 060, a W da rodovia, ca. 1 km N da Praia das Sereias.",0,0,"Arvoreta 4m alt., ao sol, em área perturbada adjacente à floresta. Folhas rígidas. Frutos imaturos verde-glaucos (jade). Mata de restinga","BRA:MBM:MBM:0000344398","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"22","NY","NY",448624,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf",NA,NA,"3480","J. R. Pirani",1994,12,8,"Brazil","EspÃ­rito Santo",NA,"ES-060, a W da rodovia, ca. 1 km N da Praia da Sereias",-40.286823,-20.328351,NA,"608ba97f-3400-40e9-8b3a-088e52405780","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"23","UEFS","HUEFS",15096,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000","1593","Bautista, H.P.",1992,2,15,"Brazil","Bahia","Salvador",NA,NA,NA,NA,"BRA:UEFS:HUEFS:0000015096","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"24","UEFS","HUEFS",93637,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000","745","Boone, W.",1985,9,8,"Brazil","Espírito Santo","Santa Teresa","São João de Petrópolis.",NA,NA,NA,"BRA:UEFS:HUEFS:0000093637","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"25","UEFS","HUEFS",1808,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000","2349","Noblick, L.R.",1982,12,7,"Brazil","Bahia","Camaçari",NA,-38.3,-12.483333,NA,"BRA:UEFS:HUEFS:0000001808","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"26","UEFS","HUEFS",9324,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf","2007-10-01T00:00:00.000+0000","257","Araújo, A.P.de",1980,2,15,"Brazil","Bahia",NA,NA,-38.883333,-12.816667,NA,"BRA:UEFS:HUEFS:0000009324","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"27","Universidade Federal Rural de Pernambuco, UFRPE","HST",3797,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M.N.S.Stapf.","2007-02-01T00:00:00.000+0000","23584","M.T.Monteiro",1971,11,12,"Brazil","Bahia","Itamarajú","Fazenda Boa Vista",NA,NA,"Flores alvas perfumadas; frutos pequenos, quando maduros são vermelhos, comestíveis pelo homem.","BRA:UFRPE:HST:0000003797","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"28","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC",3860,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M. N. S. Stapf",NA,"2874","R. P. Belém",1966,11,10,"Brazil","Bahia","ITAPEBÍ","Sem informação.",NA,NA,"Ambiente: Plantação de cacau. Habito: Árvore, 4m X 10cm","BRA:CEPLAC:CEPEC:0000003860","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
"29","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC",33552,"Cordia restingae M.Stapf","Ehretiaceae","Cordia","restingae","M.Stapf","M. N. S. Stapf",NA,"2349","L. R. Noblick",NA,NA,NA,"Brazil","Bahia","MATA DE SÃO JOÃO","Área de Controle da Caraíba Metais.",-38.494444,-12.671389,"Ambiente: Mata. Habito: Arvoreta arbustiva, 3m.","BRA:CEPLAC:CEPEC:0000033552","Cordia restingae M.Stapf",NA,NA,NA,NA,NA,NA,NA
