"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"35",NA,"Universidade Regional de Blumenau, FURB","FURB","27301","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-06-14T00:00:00.000+0000",NA,"3236","Stival-Santos, A.",2010,7,8,"Brazil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.",-48.87,-27.45,"Florística IFFSC 388 (Arvoreta)","BRA:FURB:FURB:0000027301",NA,"Ocotea marumbiensis Brotto & Baitello"
"36",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","44996","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2013-12-18T00:00:00.000+0000",NA,"2","Martins, E.M.",2010,8,30,"Brazil","Santa Catarina","Canoinhas","Embrapa.",-50.384167,-26.193055,"arbórea, 12m altura. od. 124.","BRA:UFSC:FLOR:0000044996",NA,"Ocotea marumbiensis Brotto & Baitello"
"37",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","44991","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2013-12-19T00:00:00.000+0000",NA,"4220","Korte, A.",2010,9,1,"Brazil","Santa Catarina","Doutor Pedrinho","Cerro Azul.",-49.590555,-26.640278,"arbórea. Florística IFFSC 856 (Arbórea). Floresta Ombrófita Mista.","BRA:UFSC:FLOR:0000044991",NA,"Ocotea marumbiensis Brotto & Baitello"
"39",NA,"MBM","MBM","385269","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2012-10-02T00:00:00.000+0000","PARATYPE","482","Brotto, ML",2010,10,12,"Brazil","Paraná","Morretes","Parque Estadual Pico do Marumbi, Trilha noroeste.",-48.914444,-25.448611,"Árvore 6m; frutos imaturos verdes.; Floresta Ombrófila Mista Montana.","BRA:MBM:MBM:0000385269",NA,"Ocotea marumbiensis Brotto & Baitello"
"40","2017-10-17T13:00:36.000+0000","JBRJ","RB","RB00722672","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L. Brotto",NA,"PARATYPE","483","M.L. Brotto",2010,11,2,"Brazil","Paraná","Morretes","Torre da Prata, Serra da Prata.",-48.698333,-25.618611,"Árvore de 10 m de altura, DAP 18 cm, frutos imaturos verdes e maduros pretos. Coletada na mesma árvore do holótipo","urn:catalog:JBRJ:RB:722672",NA,"Ocotea marumbiensis Brotto & Baitello"
"44",NA,"IF","SPSF","44629","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L.Brotto",NA,NA,"483","M.L.Brotto",2010,11,2,"Brazil","Pr","Morretes","Serra da Prata",-48.698333,-25.618611,"COLETA: Floresta Ombrófila Densa Montana&nf;Árvore 10m altura, frutos imaturos verdes e maduros negros.; GEOGRAFIA: Torre da Prata;","BRA:IF:SPSF:0000044629",NA,"Ocotea marumbiensis Brotto & Baitello"
"46",NA,"Universidade Regional de Blumenau, FURB","FURB","13604","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-06-14T00:00:00.000+0000",NA,"2470","Verdi, M.",2009,6,30,"Brazil","Santa Catarina","Botuverá","Localidade de """".",-49.051944,-27.268611,"Fito IFFSC 468/O/14","BRA:FURB:FURB:0000013604",NA,"Ocotea marumbiensis Brotto & Baitello"
"47",NA,"Universidade Regional de Blumenau, FURB","FURB","7331","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-06-14T00:00:00.000+0000",NA,"668","Verdi, M.",2008,5,18,"Brazil","Santa Catarina","Campo Alegre","Fazenda Sequóia.",-49.196389,-26.180278,NA,"BRA:FURB:FURB:0000007331",NA,"Ocotea marumbiensis Brotto & Baitello"
"48",NA,"UFPR","UPCB","65843","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2012-10-02T00:00:00.000+0000","PARATYPE","26","Brotto, M.L.",2007,6,9,"Brazil","Santa Catarina","Garuva","Serra do Quiriri, pico Garuva.",-48.891389,-26.044167,"Árvore de 3 m de alt., flores verdes. Floresta Ombrófila Densa Montana..","BRA:UFPR:UPCB:0000065843",NA,"Ocotea marumbiensis Brotto & Baitello"
"49",NA,"Universidade Regional de Blumenau, FURB","FURB","10603","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2013-06-14T00:00:00.000+0000",NA,"600","Grippa, C.R.",2007,10,12,"Brazil","Santa Catarina","Apiúna","Jundiá.",-49.254722,-27.120278,"Florística do Plano de Manejo do Parque Nacional da Serra do Itajaí. Campo VII.","BRA:FURB:FURB:0000010603",NA,"Ocotea marumbiensis Brotto & Baitello"
"50",NA,"USP","SPF","201849B","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2016-09-09T00:00:00.000+0000",NA,"1853","Vieira, FCS",2006,7,5,"Brazil","Santa Catarina","Joinville","Morro da Tromba",0,0,"Coleta misturada.","BRA:USP:SPF:000201849B",NA,"Ocotea marumbiensis Brotto & Baitello"
"51",NA,"Universidade Regional de Blumenau, FURB","FURB","5047","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L. Brotto","2016-12-01T00:00:00.000+0000",NA,"442","Gasper, A.L. de",2006,11,2,"Brazil","Santa Catarina","São Bento do Sul",NA,NA,NA,NA,"BRA:FURB:FURB:0000005047",NA,"Ocotea marumbiensis Brotto & Baitello"
"52",NA,"UFPR","UPCB","65944","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2012-10-02T00:00:00.000+0000","PARATYPE","163","Blum, C.T.",2005,4,16,"Brazil","Paraná","Morretes","Serra da Prata, Torre da Prata (face norte).",NA,NA,"Árvore 10 m, botões. Floresta Ombrófila Densa Montana de porte baixo com clareiras..","BRA:UFPR:UPCB:0000065944",NA,"Ocotea marumbiensis Brotto & Baitello"
"53",NA,"UFPR","UPCB","65945","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2012-10-02T00:00:00.000+0000","PARATYPE","B08-27","Blum, C.T.",2005,6,26,"Brazil","Paraná","Morretes","Serra da Prata, Torre da Prata (face norte).",NA,NA,"Árvore 8m, DAP 17cm, bifurcada, com botões e flores (levantamento fitossociológico: B08-27). Floresta Ombrófila Densa Montana de porte baixo..","BRA:UFPR:UPCB:0000065945",NA,"Ocotea marumbiensis Brotto & Baitello"
"54",NA,"IF","SPSF","46482","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","M.L. Brotto","2017-02-10T00:00:00.000+0000",NA,"205","E.Barbosa & J.M.Cruz & C.B.Poliquesi",1998,11,6,"Brazil","Pr","Tijucas do Sul","Matulão",NA,NA,"COLETA: Árvore 4 m, fruto imaturo verde.; GEOGRAFIA: Floresta com araucária.;","BRA:IF:SPSF:0000046482",NA,"Ocotea marumbiensis Brotto & Baitello"
"55",NA,"MBM","MBM","231115","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, ML","2012-10-02T00:00:00.000+0000","PARATYPE","205","Barbosa, E; Cruz, JM; Poliquesi, CB",1998,11,6,"Brazil","Paraná","Tijucas do Sul","Matulão",0,0,"Árvore 4m., fruto imaturo verde.; Floresta com araucária.","BRA:MBM:MBM:0000231115",NA,"Ocotea marumbiensis Brotto & Baitello"
"56","2013-12-10T16:01:00.000+0000","MO","MO","1948180","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","H. van der Werff","2013-01-01T00:00:00.000+0000",NA,"Barbosa 205","E.L. Barbosa",1998,11,6,"Brazil","Paraná",NA,"Matulão (Mun. Tijucas do Sul). Floresta com Araucária.",NA,NA,NA,"urn:catalog:MO:Tropicos:1948180","http://www.tropicos.org/Specimen/1948180","Ocotea marumbiensis Brotto & Baitello"
"57",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","22589","Ocotea marumbiensis Brotto & Baitello","Lauraceae","Ocotea","marumbiensis","Brotto & Baitello","Brotto, M.L.","2013-12-19T00:00:00.000+0000",NA,"5812","Falkenberg, D.B.",1992,4,4,"Brazil","Santa Catarina","Antônio Carlos","Próximo à casa do seu Ari, Reserva Ecológica Caraguatá.",NA,NA,"árvoreta, flor amarelo - esverdeada, 6m altura. Folhas levemente discolores.","BRA:UFSC:FLOR:0000022589",NA,"Ocotea marumbiensis Brotto & Baitello"
