"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"44","","","MO","1901811","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","C.K. Allen","1969-01-01","","Maguire 56848","","Bassett Maguire|João Murça Pires|Celia K. Maguire|Nilo T. Silva","1963","9","26","brazil","Mato Grosso","","370 km W of Cuiaba, gallery forest.","","","","","","GBIF","Persea splendens Meisn."
"45","","","RB","RB00522186","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","L. E. Rapp","","","","","Basset Maguire; J. Murca Pires, Celia K. Maguire & Nilo T. Silva","1963","9","26","brazil","Mato Grosso","Mato Grosso","370 km west of Cuiaba.","","","Tree 8 m high, 10 cm. diam., in fruit.","","centroide mpo","GBIF","Persea splendens Meisn."
"46","","","NY","00918558","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","C. K. Allen","","","56848","","B. Maguire","1963","9","26","brazil","Mato Grosso","","370 km W of Cuiaba","-59.494133","-15.612755","","","original coordinates","GBIF","Persea splendens Meisn."
"47","","","SP","42616","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","1891","","Kuhlmann, JG","1918","4","","brazil","Mato Grosso","","","","","","","","GBIF","Persea splendens Meisn."
"48","","","RB","RB00134553","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","I de Vattimo","1964-01-01","","3509","","F C Hochne","1911","4","","brazil","Mato Grosso","Mato Grosso","Rio Manso, linha leste.","","","Árvore.","","centroide mpo","GBIF","Persea splendens Meisn."
"49","","","NY","355857","Persea splendens var. chrysophylla Meisn.","","Lauraceae","Persea","splendens","","var. chrysophylla Meisn.","","","","3566","","J. S. Blanchet","1857","","","brazil","Bahia","","","-39.039072","-15.159747","There is a label but not a plant specimen on the sheet, for Philippi s.n. collection in Valdivia a los Cannelos.","","original coordinates","GBIF","Persea splendens var. chrysophylla Meisn."
"50","","","BOT","BM001009295","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","4358","","George Gardner","1840","6","","brazil","Goiás","","","-49.675","-15.883333","","","original coordinates","GBIF","Persea splendens Meisn."
"51","","","NY","355855","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","1001","","L. Riedel","1827","5","","brazil","","","In sylvis umbrosis ad rivulos, Serra da Chapada.","","","On bottom of herbarium label: ""Com. ex Hb. Imp. Petropol. 1859"", when herb. Meisner recieved the specimen from herb. LE.","","no coordinates, municipality or state provided (0)","GBIF","Persea splendens Meisn."
"52","","","P","P01991977","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","","","Gardner, G.","","","","brazil","","","","","","","","no coordinates, municipality or state provided","GBIF","Persea splendens Meisn."
"53","","","Herbarium","K000602084","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","Mez, C.","","","1001 et 2234","","Riedel","","","","brazil","","","","","","Herbarium Hookerianum 1867  Associated with K000602085","","no coordinates, municipality or state provided","GBIF","Persea splendens Meisn."
"54","","","NY","355854","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","4358","","G. Gardner","","","","brazil","GoiÃ¡s","","","","","At bottom of herbarium label: ""Comm. am. Shuttleworth 1842"" when herb. Meisner received the specimen from herb. Shuttleworth.","","","GBIF","Persea splendens Meisn."
"55","","","E","E00259486","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","4358","","Gardner, George","","","","brazil","Goias","","","","","","","","GBIF","Persea splendens Meisn."
"56","","","CEPEC","68198","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","L. C. S. Assis","","","1645","","E. de Melo","","","","brazil","Bahia","LENÇÓIS","Serra da Chapadinha. Entre Chapadinha e Brejões.","-41.420556","-12.447222","Ambiente: Mata ciliar. Entre rochas do riacho. Afloramento rochoso. Habito: Árvore, ca. 8m.","","original coordinates","GBIF","Persea splendens Meisn."
"57","","","NY","355872","Persea splendens var. lanceolata Meisn.","","Lauraceae","Persea","splendens","","var. lanceolata Meisn.","","","","2234","","L. Riedel","","","","brazil","SÃ£o Paulo","","In paludosis Araracoara, S. Carlos et Mugy.","","","","","","GBIF","Persea splendens var. lanceolata Meisn."
"58","","","NY","355858","Persea splendens var. chrysophylla Meisn.","","Lauraceae","Persea","splendens","","var. chrysophylla Meisn.","","","","109","","L. Riedel","","","","brazil","","","In sylvis pr. Itu.","","","","","no coordinates, municipality or state provided (0)","GBIF","Persea splendens var. chrysophylla Meisn."
"59","","","CEPEC","14874","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","P. Moraes","","","10617","","S. A. Mori","","","","brazil","Bahia","ALCOBAÇA","Rorodvia BR-255, ca. 6Km a NW de Alcobaça.","-39.403457","-17.474135","Ambiente: Campos. Habito: Árvore, 5m X 10cm.","","centroide mpo","GBIF","Persea splendens Meisn."
"60","","","ESA","ESA087100","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","","","","","","Souza, L.M.I.","","","","brazil","Minas Gerais","Alfenas","Fazenda Capoeirinha","-45.966223","-21.390053","","","centroide mpo","GBIF","Persea splendens Meisn."
"61","","","Botany","V0044317F","Persea splendens var. chrysophylla Meisn.","","Lauraceae","Persea","splendens","","var. chrysophylla Meisn.","","","","2884","","J. B. E. Pohl","","","","brazil","","","","-52.8731","-10.8339","","","original coordinates","GBIF","Persea splendens var. chrysophylla Meisn."
"62","","","CEPEC","37759","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","P. Moraes","","","62","","R. Voeks","","","","brazil","Bahia","ILHÉUS","Fazenda Barra do Manguinho, KM 11 da Rod. Ilhéus/Olivença/Una (BA-001).","-39.033333","-14.783333","Ambiente: Restinga, esatragada anteriormente pelo homem. Solo arenoso eencharcado. Habito: Árvore, 9m.","","original coordinates","GBIF","Persea splendens Meisn."
"63","","","CEPEC","7734","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","P. Moraes","","","1581","","R. S. Pinheiro","","","","brazil","Bahia","UNA","Rod. Una/Olivença.","-39.154571","-15.224128","Ambiente: Restinga. Habito: Arbusto, 1,20-4m.","","centroide mpo","GBIF","Persea splendens Meisn."
"64","","","CEPEC","37618","Persea splendens Meisn.","","Lauraceae","Persea","splendens","","Meisn.","P. Moraes","","","55","","R. Voeks","","","","brazil","Bahia","ILHÉUS","Faz. Barra do Manguinho, Km 11 Rod. Ilhéus/Olivença/Una (BA-001).","-39.033333","-14.783333","Ambiente: Restinga estragada anteriormente pelo homem. Solo arenoso e encharcado. Habito: Árvore, 6m.","","original coordinates","GBIF","Persea splendens Meisn."
