"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"11","2006-08-21T22:00:00.000+0000","C","VT","15722","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:C:VT:15722",NA,"Persea benthamiana Meisn."
"12","2009-03-05T18:12:58.000+0000","K","Herbarium","K000602087","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,"2766",NA,"Spruce, R.",NA,NA,"Brazil",NA,NA,"In [illegible] secus cataractas fl. Uaupés",NA,NA,"Associated with K000602088","http://specimens.kew.org/herbarium/K000602087",NA,"Persea benthamiana Meisn."
"13",NA,NA,"Botany","L  0574350","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,NA,NA,"Forest Department (Guyana)",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L%20%200574350",NA,"Persea benthamiana Meisn."
"14",NA,"NHMUK","BOT","BM000993943","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE","2766","2766","Richard Spruce",NA,NA,"Brazil",NA,NA,NA,-53.08982,-10.773109,NA,"f5f38d29-390b-4c5d-814b-4450da891676",NA,"Persea benthamiana Meisn."
"15",NA,"B","FMNH-B-Types","3558","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"HOLOTYPE","2766",NA,"R. Spruce",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Persea benthamiana Meisn."
"16",NA,NA,"Botany","L.1066929","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,NA,NA,"Forest Department (Guyana)",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1066929",NA,"Persea benthamiana Meisn."
"17","2007-12-06T00:00:00.000+0000","E","E","E00259487","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,"2766",NA,"Spruce, Richard",NA,NA,"Brazil","Amazonas",NA,"Near Panure at Rio Uaupes",NA,NA,NA,"http://data.rbge.org.uk/herb/E00259487",NA,"Persea benthamiana Meisn."
"18",NA,NA,"Botany","L.1066928","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,NA,NA,"Forest Department British Guiana",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1066928",NA,"Persea benthamiana Meisn."
"19","2009-03-05T18:15:09.000+0000","K","Herbarium","K000602088","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,"2766",NA,"Spruce, R.",NA,NA,"Brazil",NA,NA,"Prope Panuré ad Rio Uaupés",NA,NA,"Associated with K000602087","http://specimens.kew.org/herbarium/K000602088",NA,"Persea benthamiana Meisn."
"20",NA,NA,"Botany","U  0053136","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,NA,NA,"Forest Department British Guiana",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200053136",NA,"Persea benthamiana Meisn."
"21",NA,"G","Geneva Herbarium – General Collection (G)","G-G-266768/1","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE",NA,NA,"Spruce, R. (Coll. Boissier & Barbey-Boissier)",NA,NA,"Brazil",NA,NA,"Brésil - ad Rio Maupès prope Panurè",-53.08972,-10.77306,NA,NA,NA,"Persea benthamiana Meisn."
"22",NA,"US","Botany","USw26236","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,"s.n.",NA,"Forest Dept. B. G. & British Guiana Forestry Dept.",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/356d308ee-01be-4469-8412-58315a0d9ac2",NA,"Persea benthamiana Meisn."
"23",NA,"US","Botany","USw26236","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,"s.n.",NA,"Forestry Dept.",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/35b801fa5-3ab5-4fb2-97fa-60c7ca877319",NA,"Persea benthamiana Meisn."
"24",NA,"G","Geneva Herbarium – General Collection (G)","G-G-266768/2","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,"ISOTYPE",NA,NA,"Spruce, R. (Coll. Delessert)",NA,NA,"Brazil",NA,NA,"Brésil - ad Rio Maupès prope Panurè",-53.08972,-10.77306,NA,NA,NA,"Persea benthamiana Meisn."
"25",NA,NA,"Botany","U  0275653","Persea benthamiana Meisn.","Lauraceae","Persea","benthamiana","Meisn.",NA,NA,NA,NA,"Forest Department British Guiana",NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200275653",NA,"Persea benthamiana Meisn."
