"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments"
"45",NA,"Faculdade São Lucas (FSL)","HFSL","1241","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Rodrigues, W.A.","1993-01-01T00:00:00.000+0000",NA,"4699",NA,"Thomas, W.W.; Oliveira, J.G. de & Lima, R.P. de",1985,10,30,"Brazil","Mato Grosso","Pontes & Lacerda","BR-174, 38 Km SE of Pontes e Lacerda on BR-174 to Cáceres",-59.066667,-15.45,"Tree 10-12m tall. Resin watery & reddish, becoming redder. Leaves shiny above; pubescent and pale yellowish-green beneath. Flowers past-sepals, pale yellowish. Fruit puberulent, greenish. Gallery forest and adjacent cerrado and campo. ; DE","BRA:FSL:HFSL:0000001241",NA,"Virola urbaniana Warb.",NA,NA
"48",NA,"Cenargen","CEN","6407","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","J. E. de Paula",NA,NA,"9",NA,"Patrícia Scheiner",1982,5,18,"Brazil","Go","LUZIANIA","Beira de estrada. Estrada logo após a entrada da cidade.",-47.9,-16.25,NA,"BRA:Cenargen:CEN:0000006407",NA,"Virola urbaniana Warb.",NA,NA
"49",NA,"UnB","UB","34107","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Paula, JE",NA,NA,"9",NA,"Scheiner, P",1982,NA,NA,"Brazil","Goiás","Luziânia","Luziânia",-47.9503,-16.2525,NA,"BRA:UnB:UB:0000034107",NA,"Virola urbaniana Warb.",NA,NA
"50","2009-10-22T06:32:00.000+0000","MO","MO","3121460","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Priscilla Muriel","2004-01-01T00:00:00.000+0000",NA,"Heringer 758",NA,"Ezechias P. Heringer|José E. de Paula|Roberta C. de Mendonça|Anajúlia E. Heringer Salles",1979,NA,NA,"Brazil","Distrito Federal",NA,"Mata ciliar, picada R-6.",NA,NA,NA,"urn:catalog:MO:Tropicos:3121460","http://www.tropicos.org/Specimen/3121460","Virola urbaniana Warb.",NA,NA
"51",NA,"B","Herbarium Berolinense","B 10 0244684","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.",NA,NA,"PARATYPE",NA,NA,"E. P. Heringer, J. E. de Paula, R. Cunha de Mendonça & A. E. Heringer Salles",1978,6,16,"Brazil",NA,NA,"Brasília - DF; próxima ao seminário Arquidioce sano.",NA,NA,NA,"http://herbarium.bgbm.org/object/B100244684",NA,"Virola urbaniana Warb.",NA,NA
"53","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","81931","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.",NA,NA,NA,"271",NA,"Heringer, EP",1978,11,8,"Brazil",NA,NA,"Brasília-DF. Picada R-8",NA,NA,NA,"urn:catalog:inpa:herbarium:70023",NA,"Virola urbaniana Warb.",NA,NA
"55","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","81932","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Rodrigues, W.A.","1981-01-01T00:00:00.000+0000",NA,"180",NA,"Heringer, EP",1977,10,10,"Brazil",NA,NA,"Brasília-DF. Picada R-1",NA,NA,NA,"urn:catalog:inpa:herbarium:70020",NA,"Virola urbaniana Warb.",NA,NA
"56",NA,"UnB","UB","34184","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Jar","1980-02-27T00:00:00.000+0000",NA,"3809",NA,"Ratter, JA",1976,10,21,"Brazil","Distrito Federal","Brasília","Fazenda Água Limpa, Fazenda Água Limpa da Universidade de Brasília",-47.916667,-15.95,"Tree, 20 m tall. Trunk 45 cm in diam. at breast height. Bark smosth. Inflorescences golden green; In gallery forest","BRA:UnB:UB:0000034184",NA,"Virola urbaniana Warb.",NA,NA
"57","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","62929","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Rodrigues, W.A.","1977-01-01T00:00:00.000+0000",NA,"5527",NA,"Rizzo, JA",1970,6,26,"Brazil","Goiás",NA,"Morrinhos-Go.",NA,NA,NA,"urn:catalog:inpa:herbarium:154143",NA,"Virola urbaniana Warb.",NA,NA
"59",NA,"UFPR","UPCB","43820","Virola urbaniana Warb.",NA,"Myristicaceae","Virola","urbaniana","Warb.","Rodrigues, W.A.","1982-01-01T00:00:00.000+0000",NA,"5525",NA,"Rizzo, J.A.",1970,9,26,"Brazil","Goiás","Morrinhos",NA,NA,NA,"Árvore em floresta de galeria ou veredas em margens inundáveis de córregos, no cerrado..","BRA:UFPR:UPCB:0000043820",NA,"Virola urbaniana Warb.",NA,NA
