"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"11","Universidade Federal da Bahia (UFBA)","ALCB","85401","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"9","Ramos, C.H.A.; Guedes, ML; Alves, L. de J.",2008,3,21,"Brazil","Bahia","Itagibá","Litoral Sul, Mata da Botinha",-39.7075,-14.181389,"de 1,60 m de altura. Folhas trifoliadas, discolores, face adaxial verde intenso. Frutos imaturos verde com estrias vináceas. Ocasional.","BRA:UFBA:ALCB:0000085401","Manihot elongata P.Carvalho & M.Martins"
"12","Universidade Federal da Bahia (UFBA)","ALCB","71410","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"12031","Guedes, ML; Rabelo, P; Silva, ASAda; Ramos, GUG",2006,1,11,"Brazil","Bahia","Monte Santo","Nordeste",-39.316667,-10.433333,"latescente. Folhas membranáceas, discolores. Inflorescência em botões. Frutos imaturos verdes.; Arbustiva-Arbórea","BRA:UFBA:ALCB:0000071410","Manihot elongata P.Carvalho & M.Martins"
"13","Universidade Federal da Bahia (UFBA)","ALCB","75614","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"13005","Guedes, ML; Rigueira, D; Alunos de Botânica III",2006,12,9,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Cidade",-41.016667,-11.666667,"de ca 1,5m. Folhas membranáceas, discolores. Flores botões esverdeadas.","BRA:UFBA:ALCB:0000075614","Manihot elongata P.Carvalho & M.Martins"
"14","Universidade Federal da Bahia (UFBA)","ALCB","75841","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"13196","Guedes, ML; Santos, JS; Carvalho, G; Valadão, RM",2006,12,23,"Brazil","Bahia","Miguel Calmon","Piemonte da Diamantina, Entorno do Parque Sete Passagens, Água Branca Ponto 225",-40.583056,-11.381111,"de ca. 2,5 m de alt. Folhas membranáceas, discolores. Frutos imaturos verdes, com anel nectarífero laranja.","BRA:UFBA:ALCB:0000075841","Manihot elongata P.Carvalho & M.Martins"
"15","Universidade Federal da Bahia (UFBA)","ALCB","68990","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"11471","Guedes, ML; Anjos, BA dos",2004,3,21,"Brazil","Bahia","Euclides da Cunha","Noroeste, Sítio do Jaime",-39,-10.5,"Folhas membranáceas, discolores. Inflorescência com botões. Frutos imaturos.; arbustiva arbórea","BRA:UFBA:ALCB:0000068990","Manihot elongata P.Carvalho & M.Martins"
"16","Universidade Federal da Bahia (UFBA)","ALCB","65706","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"10845","Guedes, ML; Xavier, AB; Anjos, BA dos",2004,3,21,"Brazil","Bahia","Euclides da Cunha","Noroeste, Sítio do Jaime",-39,-10.5,"de ca. 4m. Folhas membranáceas, discolores. Material estéril.; arbustiva-arbórea","BRA:UFBA:ALCB:0000065706","Manihot elongata P.Carvalho & M.Martins"
"17","Universidade Federal da Bahia (UFBA)","ALCB","65802","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"10983","Guedes, ML; Alunos de Botânica III; Alunos de Botânica III",2004,4,4,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Ventura",-41.15,-11.55,"Folhas membranáceas, discolores. Flores femininas com um anel glanduloso de cor laranja na base do ovário. Frutos imaturos.; arbustiva-arbórea","BRA:UFBA:ALCB:0000065802","Manihot elongata P.Carvalho & M.Martins"
"18","Universidade Federal da Bahia (UFBA)","ALCB","037331","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"PCD5290","Stannard, B; Saar, E; Passos Júnior, LA; Guedes, ML",1997,2,9,"Brazil","Bahia","Caetité","Serra Geral, Fazenda Baixa Grande, caminho para Pajeú do Vento.",-42.636667,-14.0675,"Ca. 1,5 m de altura. Folhas discolores. Fruto imaturo verde.","BRA:UFBA:ALCB:0000037331","Manihot elongata P.Carvalho & M.Martins"
"19","Universidade Federal da Bahia (UFBA)","ALCB","037496","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"PCD5105","Saar, E; Passos Júnior, LA; Guedes, ML; Stannard, B; Atkins, S",1997,2,5,"Brazil","Bahia","Rio de Contas","Chapada Diamantina, Caminho para Lagoa Nova",-41.778889,-13.795,"2,0 m, látex esbranquiçado.Folhas discolores. Frutos imaturos verdes. Ocasional.; Solo argiloso.","BRA:UFBA:ALCB:0000037496","Manihot elongata P.Carvalho & M.Martins"
"20","Universidade Federal da Bahia (UFBA)","ALCB","024232","Manihot elongata P.Carvalho & M.Martins","Euphorbiaceae","Manihot","elongata","P.Carvalho & M.Martins","Mendonza, M","2014-10-23T00:00:00.000+0000",NA,"2815","Guedes, ML",1993,1,16,"Brazil","Bahia","Caetité","Serra Geral",-42.2075,-13.993056,"Latescente. Frutos imaturos verdes.","BRA:UFBA:ALCB:0000024232","Manihot elongata P.Carvalho & M.Martins"
