"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"34",NA,"UFU","HUFU","2401","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"532",NA,"Araújo, G.M.",1989,9,22,"Brazil","Minas Gerais","Uberlândia","Estação Ecológica do Panga",0,0,"Árvore, ca. 6,0 m.; Mata mesofítica.","BRA:UFU:HUFU:0000002401",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"35","2017-10-18T22:19:37.000+0000","JBRJ","RB","RB00059193","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"19391",NA,"H.F.Leitão Fº,; D.A.Santin, M.T.Grombone, J.A.A.Meira Neto, G.A.D.C.Franco & R.B.Francini",1987,7,2,"Brazil","Minas Gerais","Carrancas",NA,NA,NA,"Árvore 13m, botões com cálice ferrugíneo pubérulo, pétalas brancas pebescentes.","urn:catalog:JBRJ:RB:59193",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"36",NA,"Jardim Botânico de Brasília (JBB)","HEPH","3974","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Duarte, MC","1984-01-01T00:00:00.000+0000",NA,"323",NA,"Ramos, AE",1984,6,16,"Brazil","Distrito Federal","Brasília","Lago Norte Barra Alta Córrego Taquari Chácara Boa Vista",0,0,"Árvore; flor Branca; botões com pilosidade ferruginea.; Mata de galeria pertubada;","BRA:JBB:HEPH:0000003974",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"37",NA,"US","Botany","3064159","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"7118",NA,"E. P. Heringer, T. S. Filgueiras, R. C. Mendonça & B. A. S. Pereira",1981,7,13,"Brazil","Distrito Federal",NA,"Brasilia",NA,NA,NA,"http://n2t.net/ark:/65665/3463a348c-1226-4354-a83d-e6d736ce2573",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"38","2014-07-22T18:36:24.000+0000","JBRJ","RB","RB00059156","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"1306",NA,"Ezechias Paulo Heringer; José Elias de Paula, Roberta Cunha de Mendonça, Anajúlia Elizabete Heringer Salles.",1979,5,7,"Brazil","Distrito Federal","Brasília","Corrêgo Taboquinha, ""area de inundação da barragem do São Bartolomeu"" .",NA,NA,"Árvore de 12 m de altura, casca dura grossa madeiral alva e mole. Folha sub coriacea botão floral ferrugineo, pétalas das flores ainda fechada branco-esverdeado.","urn:catalog:JBRJ:RB:59156",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"39","2017-12-05T00:00:00.000+0000","E","E","E00870716","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"R.2207",NA,"Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.",1972,8,25,"Brazil","Mato Grosso",NA,"Vale de Sonhos (80km N of Barra do Garcas on the road to Xavantina).",-52.333333,-15.666667,NA,"http://data.rbge.org.uk/herb/E00870716",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"40",NA,"IPA","IPA","74550","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Carvalho-Sobrinho, J.G.","2012-06-12T00:00:00.000+0000",NA,"23510",NA,"Monteiro, M.T.",1971,7,28,"Brazil","Bahia","Itamaraju","Fazenda Vázea Alegre",0,0,"Flores amarelas com perfume agradável.","BRA:IPA:IPA:0000074550",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"41",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","3568","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Ana dú Bocage","1996-08-13T00:00:00.000+0000",NA,"23510",NA,"M.T.Monteiro",1971,7,28,"Brazil","Bahia","Itamarajú","Fazenda Várzea Alegre",NA,NA,"Flores amarelas com perfume agradável.","BRA:UFRPE:HST:0000003568",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"42","2014-07-22T18:36:20.000+0000","JBRJ","RB","RB00059137","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","M.C. Duarte",NA,NA,"23510",NA,"M.T.Monteiro",1971,7,28,"Brazil","Bahia","Itamaraju","Fazenda Várzea Alegre.",NA,NA,"Flôres amarelas com perfume agradável. Madeira branca, mole.","urn:catalog:JBRJ:RB:59137",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"43",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","3697","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Ana dú Bocage","1996-08-13T00:00:00.000+0000",NA,"23523",NA,"M.T.Monteiro",1971,9,14,"Brazil","Bahia","Itamarajú","Fazenda Palmeira",NA,NA,"Flores amarelas, com perfume agradável.","BRA:UFRPE:HST:0000003697",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
