"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","comments","FID","new_Lat","new_Lon","notes"
"21",NA,"UEFS","HUEFS","88274","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"2950",NA,"Forzza, R.C.",2004,3,6,"brazil","minas gerais","descoberto","Reserva Biológica da Represa do Grama, trilha principal partindo da casa de Seu Luiz.",-42.955,-21.431667,NA,"BRA:UEFS:HUEFS:0000088274",NA,"Faramea pachyantha Müll.Arg.",NA,1905,-21.431667,-42.955,"original coordinates"
"22","2015-01-22T14:55:42.000+0000","JBRJ","RB","RB00576791","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2015-01-21T00:00:00.000+0000",NA,"75428",NA,"G. Hatschbach; O.S.Ribas & J.Carneiro",2003,6,17,"brazil","bahia","nazare","Boca da Mata.",NA,NA,"Arbusto,3m,fruto alvo.","urn:catalog:JBRJ:RB:576791",NA,"Faramea pachyantha Müll.Arg.",NA,3465,-12.948058,-12.948058,"centroide mpo"
"23","2015-10-26T00:00:00.000+0000","K","Herbarium","K001137852","Faramea pachyantha Müll.Arg.","aff.","Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"4161",NA,"Jardim, J.G.",2003,11,13,"brazil",NA,"cairu","Nilo Peçanha/Cairu ca. 15,5km da BA 001.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001137852",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (no state)"
"24",NA,"NY","NY","02714647","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. G. Jardim",NA,NA,"4161",NA,"J. G. Jardim",2003,11,13,"brazil","bahia",NA,"Rod. Nilo PeÃ§anha/CairÃº, ca. 15,5Km da BA-001.",-39.04956,-13.55794,NA,"b02fabbf-ba3a-4705-86fe-f511ad711dfe",NA,"Faramea pachyantha Müll.Arg.",NA,NA,-13.55794,-39.04956,"original coordinates"
"25","2014-10-30T11:29:00.000+0000","MO","MO","3120618","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"Jardim 4161",NA,"Jomar G. Jardim|Sérgio C. de Sant'Ana|J. Lima Paixão",2003,11,13,"brazil","bahia",NA,"Mun. Cairu, Rod. Nilo peçanha/Cairu ca 15, 5km da BA 001. Restinga Restinga Arbórea. 13:33, 477'S, 39:02, 973'W",NA,NA,NA,"urn:catalog:MO:Tropicos:3120618","http://www.tropicos.org/Specimen/3120618","Faramea pachyantha Müll.Arg.",NA,NA,-12.47295682,-12.47295682,"centroide estado"
"26",NA,"MBML","MBML-HERBARIO","14629","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004",NA,NA,"3802",NA,"L. Kollmann; et al",2001,5,31,"brazil","espirito santo","santa teresa","Santo Antônio",-40.589167,-19.922222,"Árvore 10m. DAP 10cm. Fuste 8m. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000014629",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.922222,-40.589167,"original coordinates"
"27","2016-05-23T12:54:14.000+0000","JBRJ","RB","RB00348532","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"1598",NA,"S. J. Silva Neto; I. M. Silva & W. da Silva",2001,12,14,"brazil","rio de janeiro","nova iguacu","Itacolomí, próximo a terceira caixa d´água. REBIO do Tinguá",NA,NA,"Arvoreta ciófila, ca .de 4,0 m de altura; folhas discolores cartáceas; flores com cálice verde e corola amarela; estames amarelos.","urn:catalog:JBRJ:RB:348532",NA,"Faramea pachyantha Müll.Arg.",NA,1460,-22.689201,-22.689201,"centroide mpo"
"28",NA,"MBML","MBML-HERBARIO","9125","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Mário Gomes/2006",NA,NA,"1830",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1999,2,4,"brazil","espirito santo","santa teresa","Estação Biológica de Santa Lúcia",-40.530278,-19.971389,"Árvore 9m. DAP 21cm. Fuste 4m. Botões verdes. Ar 3. Parc 5. Arv 119.","BRA:MBML:MBML-HERBARIO:0000009125",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.971389,-40.530278,"original coordinates"
"29",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA118751","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Jardim, J.","2004-04-22T00:00:00.000+0000",NA,"2317",NA,"Kollmann, L.",1999,3,30,"brazil","espirito santo","santa teresa","Estação Biológica de Santa Lúcia",-40.530278,-19.971389,NA,"BRA:ESALQ:ESA:0ESA118751",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.971389,-40.530278,"original coordinates"
"30","2015-10-26T00:00:00.000+0000","K","Herbarium","K001137848","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"60",NA,"Demuner, V.",1999,9,30,"brazil",NA,"santa teresa","Estação Biológica de Santa Lúcia. Trilha do Palmiteiro.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001137848",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (no state)"
"31","2015-10-26T00:00:00.000+0000","K","Herbarium","K001137844","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"229",NA,"Kollmann, L.",1998,7,15,"brazil",NA,"fundao","Goiapaba-Açu.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001137844",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (no state)"
"32",NA,"MBML","MBML-HERBARIO","8392","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004",NA,NA,"229",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,7,15,"brazil","espirito santo","fundao","Goiapaba-Açu",-40.472222,-19.914167,"Chapada. Mata baixa. Arbusto 4m. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000008392",NA,"Faramea pachyantha Müll.Arg.",NA,2428,-19.914167,-40.472222,"original coordinates"
"33","2015-10-26T00:00:00.000+0000","K","Herbarium","K001137849","Faramea pachyantha Müll.Arg.","aff.","Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"290",NA,"Kollmann, L.",1998,8,5,"brazil",NA,"santa teresa","São Lourenço.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001137849",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (no state)"
"34",NA,"MBML","MBML-HERBARIO","8396","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004",NA,NA,"290",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,8,5,"brazil","espirito santo","santa teresa","Estação Biológica Caixa D'Água",-40.6075,-19.931389,"Mata de encosta. Arvoreto 8m. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000008396",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.931389,-40.6075,"original coordinates"
"35",NA,"MBML","MBML-HERBARIO","8361","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004",NA,NA,"493",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,9,9,"brazil","espirito santo","santa teresa","São Lourenço, Mata Fria",-40.683611,-19.931111,"Mata de encosta. Arvoreto 8m. DAP 15cm. Fuste 5m. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000008361",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.931111,-40.683611,"original coordinates"
"36","2015-10-26T00:00:00.000+0000","K","Herbarium","K001137851","Faramea pachyantha Müll.Arg.","aff.","Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"498",NA,"Kollmann, L.",1998,9,9,"brazil",NA,"santa teresa","São Lourenço. Terreno de Clério Loss.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001137851",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (no state)"
"37",NA,"MBML","MBML-HERBARIO","8479","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004",NA,NA,"498",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,9,9,"brazil","espirito santo","santa teresa","São Lourenço. Mata Fria",-40.683611,-19.931111,"Chapada. Árvore 10m. DAP 20cm. Fuste 8m. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000008479",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.931111,-40.683611,"original coordinates"
"38","2015-10-26T00:00:00.000+0000","K","Herbarium","K001137847","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.",NA,NA,NA,"493",NA,"Kollmann, L.",1998,9,9,"brazil",NA,"santa teresa","São Lourenço. Terreno de Clério Loss.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001137847",NA,"Faramea pachyantha Müll.Arg.",NA,NA,NA,NA,"centroide mpo (no state)"
"39",NA,"MBML","MBML-HERBARIO","7915","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004",NA,NA,"722",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,10,7,"brazil","espirito santo","santa teresa","Santo Antônio",-40.589167,-19.922222,"Chapada. Mata baixa. Árvore 7m. DAP 17cm. Fuste 5m. Frutos verdes, pretos maduros.","BRA:MBML:MBML-HERBARIO:0000007915",NA,"Faramea pachyantha Müll.Arg.",NA,2456,-19.922222,-40.589167,"original coordinates"
