"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"39",NA,NA,"MBML-HERBARIO","7915","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","J. Jardim/22-04-2004","",NA,"722",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,10,7,"brazil","Espírito Santo","Santa Teresa","Santo Antônio",-40.589167,-19.922222,"Chapada. Mata baixa. Árvore 7m. DAP 17cm. Fuste 5m. Frutos verdes, pretos maduros.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"40",NA,NA,"UEC","173809","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"1128",NA,"Sanchez, M.; Belinello, R.; Pedroni, F.; Laps, R.R.",1997,5,29,"brazil","São Paulo","Ubatuba","Picinguaba",-44.816944,-23.3025,"Árvore número 781com 7m de altura, vegetativo.; Mata Atlântica de Encosta, Morro do Corisco.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"41",NA,NA,"Herbarium","K001137842","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"707",NA,"Sanchez, M.",1997,9,11,"brazil","","Ubatuba","Picinguaba.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"42",NA,NA,"RB","RB00740987","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","M. Gomes","2006-01-17",NA,"4426",NA,"J.M.A. Braga; R.H.P. Andreata; J.A. Lira Neto",1997,11,4,"brazil","Rio de Janeiro","Mangaratiba","Reserva Ecológica Rio das Pedras, trilha da Toca da Aranha.",-44.038288,-22.931215,"Árvore, ca. 20m de altura. Folhas discolores e grosso-cartáceas. Frutos imaturos verdes a azulados e maduros nigrescentes.","Faramea pachyantha Müll.Arg.",NA,"centroide mpo OK","GBIF"
"43",NA,NA,"Herbarium","K001137843","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","","",NA,"613",NA,"Pedroni, F.",1996,1,15,"brazil","","Ubatuba","Picinguaba.",NA,NA,"","Faramea pachyantha Müll.Arg.",NA,NA,"GBIF"
"44",NA,NA,"RB","RB00340713","Faramea pachyantha var. mandiocana (Müll.Arg.) Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"var. mandiocana (Müll.Arg.) Müll.Arg.","Mario Gomes","1997-06-24",NA,"34724",NA,"Leitão-Filho, H.F.; H.F.Rodrigues et al",1996,1,30,"brazil","São Paulo","Ubatuba","Trilha da Casa da Farinha.",-44.852778,-23.352778,"Árvore com metros de altura, floração branca.","Faramea pachyantha var. mandiocana (Müll.Arg.) Müll.Arg.",NA,"original coordinates OK","GBIF"
"45",NA,NA,"UEC","113809","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Sanchez, M.","",NA,"613",NA,"Pedroni, F.; Sanchez, M.",1996,1,15,"brazil","São Paulo","Ubatuba","Picinguaba.",-44.8,-23.366667,"Árvore 3622 com 13 de altura, com flores, folhas com muitas galhas.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
"46",NA,NA,"UEC","80588","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Sanchez, M.","",NA,"34795",NA,"Leitão Filho, H.F.; Rodrigues, R.R.; Santin, D.A.; Nave, A.G.; Sanchez, M.; Mansano, V.F.; Seoane,",1996,2,3,"brazil","São Paulo","Ubatuba","Início da encosta-Rodovia Osvaldo Cruz.",-45.026117,-23.38322,"Árvore com 6 metros de altura, floração branca.; Transição entre planície e encosta atlântica.","Faramea pachyantha Müll.Arg.",NA,"centroide mpo (0) OK","GBIF"
"47",NA,NA,"RB","RB00341308","Faramea pachyantha var. mandiocana (Müll.Arg.) Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"var. mandiocana (Müll.Arg.) Müll.Arg.","Mario Gomes","",NA,"775",NA,"Marco A. de Assis; A.Furlan",1996,5,7,"brazil","São Paulo","Ubatuba","Picinguaba. Quadrado e limite Caxetal.",-45.026117,-23.38322,"Arvoreta-frutos ainda verdes imaturos.","Faramea pachyantha var. mandiocana (Müll.Arg.) Müll.Arg.",NA,"centroide mpo OK","GBIF"
"48",NA,NA,"UEC","113811","Faramea pachyantha Müll.Arg.",NA,"Rubiaceae","Faramea","pachyantha",NA,"Müll.Arg.","Jardim, J.G.","2002-12-01",NA,"614",NA,"Pedroni, F.; Sanchez, M.",1996,5,25,"brazil","São Paulo","Ubatuba","Picinguaba.",-44.8,-23.366667,"Árvore 3622 com 13m de altura, com frutos, folhas com muitas galhas.","Faramea pachyantha Müll.Arg.",NA,"original coordinates OK","GBIF"
