"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments"
"525",NA,"F","Botany","V0294121F","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"8a51bf41-e036-4a7e-8f77-d1c422ab478f",NA,"Rustia formosa Klotzsch",NA,NA
"526",NA,"UnB","UB","45201","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch","Fonseca, ML",NA,NA,"4994",NA,"Mendonça, RC",NA,NA,NA,"Brazil","Distrito Federal","Brasília","Fazenda Água Limpa-Universidade de Brasília",-47.913611,-15.908583,NA,"BRA:UnB:UB:0000045201",NA,"Rustia formosa Klotzsch",NA,NA
"527","2015-09-04T15:05:46.000+0000","MNHN","P","P03946133","Exostema formosum Cham. & Schltdl.",NA,"Rubiaceae","Rustia","formosum","Cham. & Schltdl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03946133",NA,"Exostema formosum Cham. & Schltdl.",NA,NA
"528","2015-09-04T14:58:09.000+0000","MNHN","P","P03920936","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03920936",NA,"Rustia formosa Klotzsch",NA,NA
"529","2015-09-04T14:58:09.000+0000","MNHN","P","P03920938","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03920938",NA,"Rustia formosa Klotzsch",NA,NA
"530",NA,"SNSB-M","BSMvplantscoll","M-0189417 / 618957 / 276675","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,"NOTATYPE",NA,NA,"Martius, C.F.P. von (no. Herb. Fl. Bras. 111)",NA,NA,NA,"Brazil",NA,NA,NA,-55,-10,NA,"http://id.snsb.info/snsb/collection/497833/618957/276675",NA,"Rustia formosa Klotzsch",NA,NA
"531",NA,"USP","SPFW","5070","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch","Serviço Florestal",NA,NA,NA,NA,"Sem coletor",NA,NA,NA,"Brazil","Distrito Federal",NA,NA,NA,NA,"Ministério da Agricultura, Serviço Florestal, Seção de Tecnologia","BRA:USP:SPFW:0000005070",NA,"Rustia formosa Klotzsch",NA,NA
"532","2011-10-06T00:00:00.000+0000","BR",NA,"BR0000005749386","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"S.N.",NA,"Pohl J.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005749386",NA,"Rustia formosa Klotzsch",NA,NA
"533",NA,NA,"Botany","U.1581246","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch","Delprete PG",NA,NA,NA,NA,"Pires JM",NA,NA,NA,"Brazil","Distrito Federal",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1581246",NA,"Rustia formosa Klotzsch",NA,NA
"534","2015-09-04T14:58:09.000+0000","MNHN","P","P03920940","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03920940",NA,"Rustia formosa Klotzsch",NA,NA
"535",NA,NA,"Botany","L.2955126","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,"Jan R",NA,NA,NA,"unknown or invalid",NA,NA,"Arbor proealsa.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.2955126",NA,"Rustia formosa Klotzsch",NA,NA
"536","2015-09-04T14:59:43.000+0000","MNHN","P","P03920956","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03920956",NA,"Rustia formosa Klotzsch",NA,NA
"537",NA,"HBG","HBGSpermatophyta - Herbarium Hamburgense","HBG521049","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch","HBG-formal name change","2013-08-19T00:00:00.000+0000",NA,NA,NA,"Sello, F.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,"Rustia formosa Klotzsch",NA,NA
"538","2015-09-04T14:59:57.000+0000","MNHN","P","P03920990","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03920990",NA,"Rustia formosa Klotzsch",NA,NA
"539","2015-07-08T00:00:00.000+0000","K","Herbarium","K001136254","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"205",NA,"Vauthier",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K001136254",NA,"Rustia formosa Klotzsch",NA,NA
"540","2017-04-06T12:48:04.000+0000","JBRJ","RB","RB01287698","Rustia formosa Klotzsch","aff.","Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"349",NA,"Martins,H.F.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara",NA,NA,NA,"urn:catalog:JBRJ:RB:1287698",NA,"Rustia formosa Klotzsch",NA,NA
"541",NA,"MBM","MBM","397021","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"s.n.",NA,"Prata, EMB",NA,NA,NA,"Brazil","São Paulo","Ubatuba","Picinguaba",0,0,NA,"BRA:MBM:MBM:0000397021",NA,"Rustia formosa Klotzsch",NA,NA
"542","2015-07-08T00:00:00.000+0000","K","Herbarium","K001136261","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"s.n.",NA,"Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K001136261",NA,"Rustia formosa Klotzsch",NA,NA
"543","2011-10-06T00:00:00.000+0000","BR",NA,"BR0000005747900","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"3181",NA,"Burchell W.J.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005747900",NA,"Rustia formosa Klotzsch",NA,NA
"544",NA,"MBM","MBM","91061","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"s.n.",NA,"Kirbride Jr.; J.H.",NA,NA,NA,"Brazil","Distrito Federal",NA,"Morro da Canastra",0,0,NA,"BRA:MBM:MBM:0000091061",NA,"Rustia formosa Klotzsch",NA,NA
"545","2009-06-22T15:49:25.000+0000","K","Herbarium","K000470119","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,"ISOTYPE","1838",NA,"s.coll.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Herbarium Benthianum 1854","http://specimens.kew.org/herbarium/K000470119",NA,"Rustia formosa Klotzsch",NA,NA
"546",NA,NA,"Botany","L.2955123","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,"Vauthier M",NA,NA,NA,"Brazil",NA,NA,"Rio-de Janeiro.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.2955123",NA,"Rustia formosa Klotzsch",NA,NA
