"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments"
"28",NA,"UEFS","HUEFS","219455","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"3748","Pereira, B.A.S.",2006,10,20,"Brazil","Bahia","Bom Jesus da Lapa","Afloramento de calcário onde situa a caverna que abriga a Catedral do Senhor do Bom Jesus da Lapa.",-43.421389,-13.258889,"Floresta estacional decidual.","BRA:UEFS:HUEFS:0000219455",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"29",NA,"UEFS","HUEFS","96444","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","R.M.Castro","2005-01-01T00:00:00.000+0000","1196","Castro, R.M.",2005,4,11,"Brazil","Bahia","Bom Jesus da Lapa","Morro da Lapa.",-43.416667,-13.25,NA,"BRA:UEFS:HUEFS:0000096444",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"30",NA,"UEFS","HUEFS","96433","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.Rapini","2006-03-01T00:00:00.000+0000","1185","Castro, R.M.",2005,4,10,"Brazil","Bahia","Coribe","Alagoinha.",-44.732222,-14.933333,NA,"BRA:UEFS:HUEFS:0000096433",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"31",NA,"NY","NY","1801340","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"4911","F. FranÃ§a",2004,2,22,"Brazil","Bahia",NA,"Estrada Brumado-Sussuaran. Morro do Antoninho.",-41.3658,-14.1431,NA,"1a642340-3425-48cf-880d-33e8cd42953a",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"33",NA,"Universidade Federal da Bahia (UFBA)","ALCB","62337","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","Castro, RM de","2005-02-01T00:00:00.000+0000","17","Passos Júnior, LA; Xavier, AB; Anjos, BA dos; Rigueira, D; Mota, AC da; Roque, N; Guedes, ML; et a",2003,4,30,"Brazil","Bahia","Bom Jesus da Lapa","Médio São Francisco, 15 km da cidade em direção à Ibotirama - 3 Km para o Morrão",-43.308056,-13.163611,"ca 6 m alt. , látex branco. Folhas discolores. Frutos sincônio verde, com tons castanhos.","BRA:UFBA:ALCB:0000062337",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"35",NA,"Cenargen","CEN","61080","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","J. B. Bringel",NA,"3281","Anderson Cássio Sevilha",2003,8,30,"Brazil","Go","ALVORADA DO NORTE","Fazenda Campo Alegre. (Seu Santos).",-46.8375,-14.521666,NA,"BRA:Cenargen:CEN:0000061080",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"36",NA,"UEFS","HUEFS","172415","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado","2011-11-01T00:00:00.000+0000","8112","Pereira-Silva, G.",2003,12,3,"Brazil","Goiás","Alvorada do Norte","Afloramento calcáreo.",NA,NA,NA,"BRA:UEFS:HUEFS:0000172415",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"38","2017-10-19T06:27:46.000+0000","JBRJ","RB","RB00511960","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P. Machado",NA,"3631","A.C. Sevilha; et.al",2003,12,9,"Brazil","Goiás","Alvorada do Norte","Fazenda Itú.",NA,NA,"Árvore com  8 m de altura x 20 cm DAP. Ocasional no local. Sobre afloramento calcário.","urn:catalog:JBRJ:RB:511960",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"39",NA,"Cenargen","CEN","60787","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","J. B. Bringel",NA,"3631","Anderson Cássio Sevilha",2003,12,9,"Brazil","Go","ALVORADA DO NORTE","Fazenda Itú.",-46.731111,-14.505,NA,"BRA:Cenargen:CEN:0000060787",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"40",NA,"UEFS","HUEFS","59218","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.Rapini","2006-01-01T00:00:00.000+0000","3778","França, F.",2002,4,15,"Brazil","Bahia","Guanambi","Estrada Guanambi-Carinhanha, c. 9km W de Guanambi",-42.881667,-14.230556,"Caatinga","BRA:UEFS:HUEFS:0000059218",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
