"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"16","","","HUEFS","163083","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","977","","Machado, A.F.P.","2010","7","31","brazil","Bahia","Salvador","Arredores da Lagoa do Abaeté","-38.51033","-12.871185","","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"17","","","HUEFS","163084","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","978","","Machado, A.F.P.","2010","7","31","brazil","Bahia","Salvador","Arredores da Lagoa do Abaeté","-38.51033","-12.871185","","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"18","","","ASE","14701","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Machado, AFP","2015-08-04","","223","","Matos, ECA","2009","3","","brazil","Sergipe","Areia Branca","Parque Nacional da Serra de Itabaiana","-37.315","-10.758056","","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"19","","","RB","RB00574180","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P. Machado","","","923","","M.M. Saavedra; C.N. Fraga, J.E. Meireles & J. Neri","2009","6","27","brazil","Bahia","Una","Rodovia Ilheus-Una (BA-001), a 55Km de Ilheus, estrada vicinal em direção a Pedra de Una. Floresta Ombrófila Densa sobre Tabuleiro.","-39.051389","-15.27","Árvore, ca. 8m alt., folhas discolores com nervura principal creme, conspícua na face abaxial, frutos verde claro, látex alvo","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"20","","","MBML-HERBARIO","41022","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.G. Oliveira/Agosto-2010","","","630","","A.G. Oliveira; M.M. Monteiro","2009","9","27","brazil","Espírito Santo","Conceição da Barra","Itaúnas, mata seca de restinga sobre cordão arenoso próximo de uma área entre cordões dominado por Montrichardia. Área atrás da Fazenda Jequitaia","-39.832833","-18.445026","Árvore de 6m, com sicônios verdes. Látex leitoso","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"21","","","MBML-HERBARIO","41023","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.G. Oliveira/Agosto-2010","","","677","","A.G. Oliveira","2009","11","21","brazil","Espírito Santo","Conceição da Barra","Itaúnas, mata seca de restinga sobre cordão arenoso próximo de uma área entre cordões dominado por Montrichardia. Área atrás da Fazenda Jequitaia","-39.832833","-18.445026","Árvore de 6m, com sicônios verdes. Látex leitoso","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"22","","","RB","RB00648960","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Leandro C Pederneiras","2011-07-15","","399","","H.M.Dias; J.B.G.Jesus & U.N.Machado","2008","4","11","brazil","Bahia","Caravelas","Extremo  Sul  da  Bahia.  Área  entre  rios  do  Macaco  e  Massangano.  Formação  de  restinga  de  moitas.  Em  área  particular  do  COOPEX,  onde  há  intenções  de  implatações  de  fazendas  de  camarões  (carnicultura).","-39.386111","-17.715555","Arbusto, 2,0m de alt., com frutos esverdeados. Folhas simples e alternadas. Comum na área.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"23","","","RB","RB00534879","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","L.C. Pederneiras","2017-03-30","","642","","V.Maioli; R.M.Dias, Sirineu & Chiquinho","2008","6","1","brazil","Mato Grosso","Paranaíta","Ilha Porto de Areia.","-56.442222","-9.481389","Folhas discolores mais claras na face inferior, pilosa. Frutos verdes.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"24","","","MBML-HERBARIO","41030","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P. Machado/28-09-2009","","","303","","A.G. Oliveira; M.M. Monteiro & T.C. Souza","2008","8","17","brazil","Espírito Santo","São Mateus","Bairro Liberdade. Mata seca de restinga a direita da estrada principal entrando no bairro Liberdade, acessivel por uma estrada de terra adjacente a uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus-Guriri","-40.02055","-18.748914","Planta de bordo de mata com 5m. Frutos cremes com pontuações rosas","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"25","","","EAC","44668","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Machado, A.F.P.","2013-03-03","","80","","Ferreira, R.G.","2008","9","11","brazil","Ceará","São Gonçalo do Amarante","Pecém., Substrato arenoso","-39.057763","-3.602697","Com flor amarela; Tabuleiro litorâneo","","centroide mpo (0)","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"26","","","HUEFS","182197","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P.Machado","2013-05-01","","621","","Nascimento, F.H.F.","2008","11","","brazil","Bahia","Rio do Pires","Serra Itubira. Mata do Cigano.","-41.917778","-13.263889","Floresta Alto Montana.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"27","","","HUEFS","146071","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","473","","Popovkin, A.V.","2008","12","31","brazil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.048611","-12.017778","","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"28","","","RB","RB00528215","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","L.C. Pederneiras","2017-03-30","","1281","","M. M. M. Lopes; F. Matos, J. Jardim, L. Gomes & R. Perdiz","2007","4","19","brazil","Bahia","Almadina","Serra do Corcovado. 9,8 km ao SW de Coarací na estrada para Almadina, daí N até a Fazenda São José (Propr. Sr. Francisco).","-39.603333","-14.705833","Árvore ca. 7 m de altura; folhas coriáceas, discolores. Frutos verde-claros. Látex presente. Coletada em cima da pedra do Corcovado.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"29","","","MBML-HERBARIO","41029","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P. Machado/28-09-2009","","","46","","M.B. Faria; A.G. Olivera","2007","4","14","brazil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga","-40.02055","-18.748914","Planta de 6m com frutos e látex","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"30","","","CEPEC","123760","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","550","","Piotto, D.","2007","7","15","brazil","Bahia","Uruçuca","Serra Grande Parque Estadual da Serra do Conduru","-39.083333","-14.416667","Floresta Ombrófila Densa","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"31","","","HUEFS","129002","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P.Machado","2011-11-01","","857","","Cotrim, A.","2007","7","21","brazil","Bahia","São Desidério","Manoel de Souza.","-45.0975","-12.517222","Área antropizada.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
