"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"31",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","13251","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","J. Cordeiro","2014-01-01T00:00:00.000+0000",NA,"4994",NA,"M.G. Caxambu",2013,11,28,"brazil","pr","tibagi","Sítio Sete Quedas",-50.254056,-24.580528,"arvoreta heliófita. Frutos imaturos vermelhos. Em borda de capão.","BRA:UTFPR:HCF:0000013251",NA,"Myrcia retorta Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.580528,-50.254056
"32",NA,"HUCP",NA,"24188","Myrcia arborescens Berg",NA,"Myrtaceae","Myrcia","arborescens","Berg","Selusniaki, M",NA,NA,"825",NA,"Lozano, E",2012,1,6,"brazil","parana",NA,"Lajeado Bonito",0,0,NA,"24115",NA,"Myrcia arborescens Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paraná",-51.62375032,-24.6368312,-24.6368312,-51.62375032
"33","2016-01-29T15:58:51.000+0000","JBRJ","RB","RB00782608","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","E. Barboza","2012-01-01T00:00:00.000+0000",NA,"8556",NA,"O. S. Ribas et. al",2012,3,30,"brazil","parana","jaguariaiva","Parque Estadual do Cerrado.",NA,NA,"Arvoreta 4 m, frutos avermelhados.","urn:catalog:JBRJ:RB:782608",NA,"Myrcia retorta Cambess.",NA,NA,1000,"Jaguariaíva",4112009,-49.705016,-24.330567,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.330567,-49.705016
"34",NA,"MBM","MBM","389726","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Selusniak, M","2012-09-27T00:00:00.000+0000",NA,"406",NA,"Marinero, F; Lima, MR",2012,9,27,"brazil","parana","ortigueira","UHE Mauá, Rio Barra Grande",-50.79975,-24.137153,"Árvore; frutos imaturos verdes.","BRA:MBM:MBM:0000389726",NA,"Myrcia retorta Cambess.",NA,NA,1029,"Ortigueira",4117305,-50.946979,-24.135193,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.137153,-50.79975
"35",NA,"UFSJ","HUFSJ","4104","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Sobral, M","2012-01-01T00:00:00.000+0000",NA,"15027",NA,"Sobral, M; et al.",2012,9,28,"brazil","minas gerais","ouro branco","Serra de Ouro Branco",-43.896722,-21.187472,"Arbusto 0,5-2 m, em campo rupestre; flores brancas.","BRA:UFSJ:HUFSJ:0000004104",NA,"Myrcia retorta Cambess.",NA,NA,2248,"Ouro Branco",3145901,-43.674885,-20.525821,"MINAS GERAIS","MG","Minas Gerais",-44.65770348,-18.45798563,-21.187472,-43.896722
"36",NA,"Universidade Federal de Juiz de Fora (UFJF)","CESJ","60873","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","M. Sobral",NA,NA,"1098",NA,"L. Menini Neto; S.G. Furtado; D.R. Gonzaga",2012,10,13,"brazil","minas gerais","baependi","Parque Estadual da Serra do Papagaio, Mata à beira da estrada entre o Garrafão e o Centro de Pesquisas. Floresta ombrófila mista. 22°09'11,99""S, 44°44'07,15""W. ca. 1700m.s.m.",-44.735278,-22.153056,"Árvore, ca. 3,5m alt., na borda de floresta ombrófila mista. Botões verde-claros.","BRA:UFJF:CESJ:0000060873",NA,"Myrcia retorta Cambess.",NA,NA,1702,"Baependi",3104908,-44.822926,-22.017171,"MINAS GERAIS","MG","Minas Gerais",-44.65770348,-18.45798563,-22.153056,-44.735278
"37","2017-10-15T10:55:34.000+0000","JBRJ","RB","RB01064494","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","DFLIMA",NA,NA,"6679",NA,"M.L. Fonseca; D. Alvarenga; B.S. Barros",2012,11,30,"brazil","tocantins","ponte alta do tocantins","APA Jalapão. Próximo à Lagoa Azul. Folha: SC-23-Y-A.",-47.243889,-10.577222,"Arbusto ca. 1,50m altura. Folhas cartáceas, discolores verdes. Botões e flores brancos, estames alvos. Odor agradável. Comum","urn:catalog:JBRJ:RB:1064494",NA,"Myrcia retorta Cambess.",NA,NA,3779,"Ponte Alta do Tocantins",1717909,-47.327562,-10.751879,"TOCANTINS","TO","Tocantins",-48.3300012,-10.15018372,-10.577222,-47.243889
"38",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","149154","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.",NA,"2011-03-01T00:00:00.000+0000",NA,"175",NA,"Mansur, T; Vidal, CV",2011,1,21,"brazil","minas gerais","santa barbara","Serra Gandarela, Projeto Mina Apolo",-49.672067,-20.01595,"Transição entre o campo rupestre sobre canga couraçada e a floresta estacional semidecidual, arbóreo (3,0m)","BRA:UFMG:BHCB:0000149154",NA,"Myrcia retorta Cambess.",NA,NA,2414,"Santa Bárbara",3157203,-43.475592,-20.029419,"MINAS GERAIS","MG","Minas Gerais",-44.65770348,-18.45798563,-20.01595,-49.672067
"39",NA,"UNICAMP","UEC","174831","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Lima, D.F.","2016-06-01T00:00:00.000+0000",NA,"s.n.",NA,"Abraão, A.; Franci, L.C.",2011,1,23,"brazil","sao paulo","itirapina","Pedregulho.",0,0,"Árvore de 6 metros de altura. Frutos maduros de cor púrpura.","BRA:UNICAMP:UEC:0000174831",NA,"Myrcia retorta Cambess.",NA,NA,1605,"Itirapina",3523602,-47.834087,-22.294732,"SAO PAULO","SP","São Paulo",-48.73276064,-22.26541286,-22.294732,-47.834087
"40",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","149155","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.",NA,"2011-03-01T00:00:00.000+0000",NA,"176",NA,"Mansur, T; Vidal, CV",2011,1,21,"brazil","minas gerais","santa barbara","Serra Gandarela, Projeto Mina Apolo",-49.674942,-20.021736,"Transição entre o campo rupestre sobre canga couraçada e a floresta estacional semidecidual, arbóreo (3,0m)","BRA:UFMG:BHCB:0000149155",NA,"Myrcia retorta Cambess.",NA,NA,2414,"Santa Bárbara",3157203,-43.475592,-20.029419,"MINAS GERAIS","MG","Minas Gerais",-44.65770348,-18.45798563,-20.021736,-49.674942
