"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"38",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA104475","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Kuntz, J.","2011-01-01T00:00:00.000+0000",NA,"1021",NA,"Aguiar, O.T.",2002,3,14,"Brazil","São Paulo","São Miguel Arcanjo",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA104475","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"39",NA,"UFSJ","HUFSJ","7784","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso","Sobral, M","2011-01-01T00:00:00.000+0000",NA,"4904",NA,"Kollmann, L; Bausen, E,; Pizziolo, W",2001,10,24,"Brazil","Espirito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica Augusto Ruschi. Estrada da Gioapabo-açu.",0,0,"Arvoreto de 9m. DAP 10cm. Fuste 4cm. Flores brancas.","BRA:UFSJ:HUFSJ:0000007784","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso"
"40",NA,"MBML","MBML-HERBARIO","15527","Eugenia pseudodichasiantha Kiaersk.",NA,"Myrtaceae","Plinia","pseudodichasiantha","Kiaersk.","M. Sobral/2001",NA,NA,"4904",NA,"L. Kollmann; et al",2001,10,24,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-40.553056,-19.9075,"Arvoreto 9m. DAP 10cm. Fuste 4cm. Flores 4cm. Flores brancas.","BRA:MBML:MBML-HERBARIO:0000015527","Eugenia pseudodichasiantha Kiaersk."
"41","2017-10-19T04:46:50.000+0000","JBRJ","RB","RB00578668","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","M.Sobral","2010-01-01T00:00:00.000+0000",NA,"5027",NA,"L. Kollmann; E. Bausen",2001,11,27,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica Augusto Ruschi. Estrada de Lombardia.",NA,NA,"Arvoreto 7 m. Flores brancas.","urn:catalog:JBRJ:RB:578668","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"44",NA,"UFSJ","HUFSJ","7785","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso","Sobral, M","2011-01-01T00:00:00.000+0000",NA,"5027",NA,"Kollmann, L; Bausen, E",2001,11,27,"Brazil","Espirito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica Augusto Ruschi. Estrada de Lombardia.",0,0,"Arvoreto de 7m. Flores brancas.","BRA:UFSJ:HUFSJ:0000007785","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso"
"45",NA,"MBML","MBML-HERBARIO","12477","Eugenia pseudodichasiantha Kiaersk.",NA,"Myrtaceae","Plinia","pseudodichasiantha","Kiaersk.","M. Sobral/2001",NA,NA,"960",NA,"V. Demuner; et al",2000,4,27,"Brazil","Espírito Santo","Santa Teresa","Alto Lombardia, cabeceira do 25 de Julho",-40.548889,-19.844722,"Arvoreta 11m, frutos jovens de cor verde. Interior de mata, local plano.","BRA:MBML:MBML-HERBARIO:0000012477","Eugenia pseudodichasiantha Kiaersk."
"46",NA,"UFSJ","HUFSJ","7786","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso","Sobral, M","2011-01-01T00:00:00.000+0000",NA,"2275",NA,"Kollmann, L; Bausen, E; Pizziolo, W",1999,3,29,"Brazil","Espirito Santo","Santa Teresa","Aparecidinha, terreno de L. Bringhenti.",0,0,"Arvoreto de 10m. Dap 12cm. Fuste 6m. Frutos vermelhos.","BRA:UFSJ:HUFSJ:0000007786","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso"
"47",NA,"MBML","MBML-HERBARIO","9789","Eugenia pseudodichasiantha Kiaersk.",NA,"Myrtaceae","Plinia","pseudodichasiantha","Kiaersk.","M. Sobral/2001",NA,NA,"2275",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1999,3,29,"Brazil","Espírito Santo","Santa Teresa","Aparecidinha",-40.593889,-19.973056,"Arvoreto10m. Dap 12cm. Fuste 10m. Frutos vermelhos.","BRA:MBML:MBML-HERBARIO:0000009789","Eugenia pseudodichasiantha Kiaersk."
"48",NA,"UFSJ","HUFSJ","7798","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso","Sobral, M","2011-01-01T00:00:00.000+0000",NA,"900",NA,"Kollmann, L; Bausen, E; Pizziolo, W",1998,11,9,"Brazil","Espirito Santo","Santa Teresa","Aparecidinha. Terreno de Luiz Bringhenti. Mata de baixada.",0,0,"Arvoreto de 8m. DAP 10cm. Fuste 4m. Flores amarelas.","BRA:UFSJ:HUFSJ:0000007798","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso"
"49",NA,"MBML","MBML-HERBARIO","8920","Eugenia pseudodichasiantha Kiaersk.",NA,"Myrtaceae","Plinia","pseudodichasiantha","Kiaersk.","M. Sobral/2001",NA,NA,"900",NA,"L. Kollmann; E. Bausen & W. Pizziolo",1998,11,9,"Brazil","Espírito Santo","Santa Teresa","Aparecidinha",-40.593889,-19.973056,"Mata de baixada. Arvoreto 8m. DAP 10cm. Fuste 4m. Flores amarelas.","BRA:MBML:MBML-HERBARIO:0000008920","Eugenia pseudodichasiantha Kiaersk."
"50",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","173962","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral",NA,"2011-01-01T00:00:00.000+0000",NA,"1708",NA,"Silva, JM; Ribas, OS; Deodato, F",1996,9,7,"Brazil","Paraná","Campina Grande do Sul","Sítio do Belizário, Beira do rio.",0,0,NA,"BRA:UFMG:BHCB:0000173962","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"51","2017-08-30T15:07:25.000+0000","JBRJ","RB","RB00315591","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","STADNIK,A.","2017-08-29T00:00:00.000+0000",NA,"975",NA,"P.L.R. de Moraes; C.C. Diniz",1994,5,21,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual de Carlos Botelho. Parque Estadual de Carlos Botelho",NA,NA,"Árvore ca. 20m, tronco avermelhado, escamente, flores brancas com odor, em meio de encosta.","urn:catalog:JBRJ:RB:315591","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"53",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA037249","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Kuntz, J.","2011-01-01T00:00:00.000+0000",NA,"2357",NA,"Jarenkow, J.A. ; Sobral, M.",1993,3,30,"Brazil","Rio Grande do Sul","Morrinhos do Sul",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA037249","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"54","2017-10-19T02:44:15.000+0000","JBRJ","RB","RB00315613","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","M.C. Souza","2012-08-23T00:00:00.000+0000",NA,"1660",NA,"L.S. Leoni",1991,10,12,"Brazil","Minas Gerais","Carangola","Fazenda Santa Rita.",-42.033333,-20.766667,"Árvore, com aproximadamente 3m de altura, bastante ramificada, ramos flexíveis, cálice com sépalas de cor verde, corola com pétalas brancacentos.","urn:catalog:JBRJ:RB:315613","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"55",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","76521","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral",NA,NA,NA,"619",NA,"Silva, JM",1989,6,8,"Brazil","Paraná","Piraquara",NA,0,0,NA,"BRA:UFMG:BHCB:0000076521","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"56","2014-07-22T12:25:49.000+0000","JBRJ","RB","RB00308441","Eugenia pseudodichasiantha Kiaersk.",NA,"Myrtaceae","Plinia","pseudodichasiantha","Kiaersk.","M. Sobral","2004-01-01T00:00:00.000+0000",NA,"100",NA,"I. de A. Araujo; C. M. B. Lorreia; E. L. Jacques & J. C. Gomes",1989,10,26,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, ruma à nascente do rio Macaé.",NA,NA,"Árvore, ca. 3m de altura; folhas discolores verdes; botões verdes.","urn:catalog:JBRJ:RB:308441","Eugenia pseudodichasiantha Kiaersk."
"57",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA080006","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Kuntz, J.","2011-01-01T00:00:00.000+0000",NA,"43033",NA,"Hatschbach, G. ; Oliveira, P.I.",1970,7,22,"Brazil","Paraná","Piraquara",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA080006","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
